customer_id,source_category,recommended_product_id,recommended_product_name,recommended_category,recommendation_score,expected_order_value_zar,activation_channel
CUST-000053,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3077,169.38,Email + onsite
CUST-000054,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3702,197.79,Email + onsite
CUST-000055,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.4694,417.88,Email + onsite
CUST-000056,Decor,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2852,161.15,Email + onsite
CUST-000059,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.4526,125.56,Onsite only
CUST-000060,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.2419,177.00,Email + onsite
CUST-000062,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3923,209.16,Email + onsite
CUST-000063,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3727,161.41,Email + onsite
CUST-000064,Decor,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2356,205.33,Onsite only
CUST-000066,Home Organisation,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.3099,131.62,Email + onsite
CUST-000067,Home Organisation,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.4849,607.12,Email + onsite
CUST-000068,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3595,211.13,Email + onsite
CUST-000070,Pet,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3092,183.38,Email + onsite
CUST-000071,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2587,171.48,Email + onsite
CUST-000076,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4519,166.74,Email + onsite
CUST-000077,Pet,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.5417,165.67,Email + onsite
CUST-000079,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.2599,162.06,Email + onsite
CUST-000080,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3198,150.14,Email + onsite
CUST-000081,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3940,212.55,Email + onsite
CUST-000082,Workspace,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3572,224.05,Email + onsite
CUST-000087,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.5431,219.20,Email + onsite
CUST-000088,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3492,175.61,Email + onsite
CUST-000090,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.3452,831.18,Email + onsite
CUST-000091,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2988,166.85,Email + onsite
CUST-000098,Home Organisation,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.3087,115.72,Email + onsite
CUST-000101,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.3201,180.35,Email + onsite
CUST-000102,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.4925,477.84,Onsite only
CUST-000103,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.3735,395.47,Email + onsite
CUST-000106,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.2937,140.34,Email + onsite
CUST-000107,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4105,184.07,Onsite only
CUST-000108,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4286,167.65,Email + onsite
CUST-000110,Workspace,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3328,234.81,Email + onsite
CUST-000112,Home Essentials,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.4821,798.26,Email + onsite
CUST-000113,Home Organisation,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.2739,125.17,Email + onsite
CUST-000115,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.5129,147.83,Email + onsite
CUST-000118,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2876,158.83,Email + onsite
CUST-000119,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.4510,860.06,Onsite only
CUST-000125,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2368,214.26,Email + onsite
CUST-000126,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2971,165.37,Email + onsite
CUST-000128,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.5022,210.12,Onsite only
CUST-000129,Home Organisation,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.4420,89.89,Email + onsite
CUST-000131,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.4464,131.47,Email + onsite
CUST-000132,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.2246,241.19,Email + onsite
CUST-000133,Home Essentials,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.2681,127.81,Email + onsite
CUST-000134,Workspace,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3471,242.10,Email + onsite
CUST-000135,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4533,249.85,Onsite only
CUST-000136,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.3462,362.04,Onsite only
CUST-000137,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3930,189.88,Email + onsite
CUST-000139,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4663,183.84,Email + onsite
CUST-000143,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3807,181.99,Onsite only
CUST-000144,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5229,147.91,Email + onsite
CUST-000147,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.6055,204.90,Email + onsite
CUST-000149,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2100,454.24,Email + onsite
CUST-000152,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.6841,183.54,Email + onsite
CUST-000153,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.5072,205.77,Email + onsite
CUST-000154,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3540,188.40,Email + onsite
CUST-000156,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5537,148.64,Email + onsite
CUST-000160,Workspace,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.2351,245.54,Email + onsite
CUST-000161,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2321,456.52,Email + onsite
CUST-000162,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4258,201.87,Email + onsite
CUST-000163,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2624,451.95,Onsite only
CUST-000164,Home Organisation,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.5053,615.40,Email + onsite
CUST-000168,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3386,178.22,Email + onsite
CUST-000170,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2428,187.89,Email + onsite
CUST-000172,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3492,198.01,Email + onsite
CUST-000173,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.3720,618.07,Email + onsite
CUST-000175,Home Organisation,SKU-KIT-001,Airtight Pantry Labels,Kitchen,0.2129,84.17,Onsite only
CUST-000180,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3561,144.25,Onsite only
CUST-000182,Pet,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3225,152.54,Email + onsite
CUST-000184,Decor,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3450,190.96,Email + onsite
CUST-000186,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2316,198.55,Email + onsite
CUST-000187,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.6071,175.70,Email + onsite
CUST-000190,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3716,139.57,Email + onsite
CUST-000191,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4457,251.11,Email + onsite
CUST-000192,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3224,218.43,Email + onsite
CUST-000193,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.6781,186.35,Email + onsite
CUST-000203,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.3718,185.02,Email + onsite
CUST-000207,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.2453,630.50,Email + onsite
CUST-000208,Wellness,SKU-LIFE-003,Kids Tee Bundle,Lifestyle,0.2796,241.62,Email + onsite
CUST-000210,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4513,155.61,Email + onsite
CUST-000211,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5088,136.27,Email + onsite
CUST-000212,Home Essentials,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.2383,617.89,Email + onsite
CUST-000213,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.5102,226.28,Email + onsite
CUST-000214,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3980,199.76,Email + onsite
CUST-000215,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3084,211.12,Email + onsite
CUST-000216,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.2417,232.43,Onsite only
CUST-000217,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.3655,367.65,Email + onsite
CUST-000218,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.4635,673.09,Email + onsite
CUST-000221,Workspace,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4578,167.42,Email + onsite
CUST-000223,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.5822,744.37,Email + onsite
CUST-000224,Outdoor,SKU-LIFE-002,Scented Candle Duo,Lifestyle,0.3424,157.21,Email + onsite
CUST-000225,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2488,501.94,Email + onsite
CUST-000226,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.4678,721.04,Email + onsite
CUST-000230,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.6134,134.18,Email + onsite
CUST-000233,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4181,184.22,Email + onsite
CUST-000235,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4681,137.01,Email + onsite
CUST-000236,Home Essentials,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.3362,120.92,Email + onsite
CUST-000237,Wellness,SKU-LIFE-002,Scented Candle Duo,Lifestyle,0.2358,141.97,Email + onsite
CUST-000238,Workspace,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.2579,246.35,Email + onsite
CUST-000239,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4941,232.35,Email + onsite
CUST-000240,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.4473,505.81,Email + onsite
CUST-000241,Wellness,SKU-LIFE-002,Scented Candle Duo,Lifestyle,0.3401,118.44,Email + onsite
CUST-000242,Pet,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3557,189.67,Onsite only
CUST-000243,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2482,156.48,Email + onsite
CUST-000244,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.5060,657.61,Onsite only
CUST-000245,Wellness,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,0.3828,387.23,Email + onsite
CUST-000249,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.3365,139.58,Email + onsite
CUST-000251,Home Organisation,SKU-KIT-001,Airtight Pantry Labels,Kitchen,0.4054,87.23,Email + onsite
CUST-000253,Workspace,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2971,193.98,Onsite only
CUST-000255,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4562,239.13,Email + onsite
CUST-000259,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4356,199.30,Email + onsite
CUST-000265,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.4173,225.83,Onsite only
CUST-000271,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2428,490.81,Email + onsite
CUST-000274,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.1978,163.85,Onsite only
CUST-000275,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4107,183.32,Email + onsite
CUST-000278,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.3271,634.10,Email + onsite
CUST-000279,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3869,189.42,Email + onsite
CUST-000281,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3491,244.85,Email + onsite
CUST-000291,Home Essentials,SKU-KIT-004,Copper Water Bottle,Kitchen,0.3757,202.51,Email + onsite
CUST-000292,Home Organisation,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.6233,572.45,Email + onsite
CUST-000294,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.3452,151.65,Email + onsite
CUST-000295,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4394,188.24,Onsite only
CUST-000299,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.5457,203.52,Email + onsite
CUST-000300,Home Organisation,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.5563,648.33,Email + onsite
CUST-000301,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.2381,212.52,Onsite only
CUST-000303,Bathroom,SKU-BED-003,Pillow Protector Pair,Bedroom,0.3123,193.54,Email + onsite
CUST-000304,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5411,157.12,Email + onsite
CUST-000306,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3910,154.63,Email + onsite
CUST-000308,Home Organisation,SKU-KIT-002,Ceramic Dinner Set,Kitchen,0.4064,688.57,Email + onsite
CUST-000309,Home Organisation,SKU-KIT-003,Digital Kitchen Scale,Kitchen,0.5866,216.07,Email + onsite
CUST-000310,Decor,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4651,222.67,Email + onsite
CUST-000311,Decor,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2595,153.15,Email + onsite
CUST-000312,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3642,149.89,Email + onsite
CUST-000313,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3099,171.96,Email + onsite
CUST-000318,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2997,195.16,Email + onsite
CUST-000319,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3880,208.73,Email + onsite
CUST-000321,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2187,167.54,Email + onsite
CUST-000324,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2659,134.91,Email + onsite
CUST-000330,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.3324,600.26,Email + onsite
CUST-000332,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.2052,222.20,Email + onsite
CUST-000333,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4066,201.85,Email + onsite
CUST-000335,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3442,166.94,Email + onsite
CUST-000337,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4319,149.48,Email + onsite
CUST-000338,Pet,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3223,186.66,Email + onsite
CUST-000340,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.4349,182.41,Email + onsite
CUST-000344,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.5626,191.11,Email + onsite
CUST-000346,Workspace,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2438,190.97,Email + onsite
CUST-000349,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.3743,181.28,Email + onsite
CUST-000351,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3424,220.25,Email + onsite
CUST-000354,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.2068,633.00,Onsite only
CUST-000355,Workspace,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5093,198.06,Email + onsite
CUST-000357,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4646,177.43,Email + onsite
CUST-000363,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.2763,117.01,Onsite only
CUST-000364,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2319,181.75,Onsite only
CUST-000365,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.2763,179.54,Email + onsite
CUST-000366,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4302,187.83,Email + onsite
CUST-000370,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.6615,245.17,Email + onsite
CUST-000373,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.5113,228.86,Email + onsite
CUST-000374,Decor,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3313,152.45,Email + onsite
CUST-000375,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.3789,116.70,Email + onsite
CUST-000376,Home Organisation,SKU-KIT-003,Digital Kitchen Scale,Kitchen,0.3871,223.09,Email + onsite
CUST-000377,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3511,160.36,Email + onsite
CUST-000378,Pet,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3385,192.35,Onsite only
CUST-000383,Decor,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2770,190.69,Email + onsite
CUST-000384,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3307,178.82,Email + onsite
CUST-000390,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2948,143.22,Email + onsite
CUST-000391,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4146,182.03,Email + onsite
CUST-000392,Bathroom,SKU-BED-003,Pillow Protector Pair,Bedroom,0.3234,209.87,Email + onsite
CUST-000393,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3380,191.53,Onsite only
CUST-000394,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.3338,121.47,Onsite only
CUST-000396,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.2161,127.78,Onsite only
CUST-000398,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4344,177.01,Onsite only
CUST-000402,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4048,176.21,Email + onsite
CUST-000404,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.4424,833.26,Onsite only
CUST-000407,Bathroom,SKU-BED-003,Pillow Protector Pair,Bedroom,0.5825,178.62,Email + onsite
CUST-000409,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.3272,157.21,Email + onsite
CUST-000410,Bathroom,SKU-BED-002,Luxury Throw Blanket,Bedroom,0.4207,574.56,Onsite only
CUST-000414,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5370,199.45,Email + onsite
CUST-000415,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3718,172.46,Onsite only
CUST-000416,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3225,234.49,Email + onsite
CUST-000417,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2393,206.22,Email + onsite
CUST-000418,Decor,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3416,180.33,Email + onsite
CUST-000420,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.4702,189.43,Email + onsite
CUST-000421,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2444,166.60,Email + onsite
CUST-000425,Bedroom,SKU-BATH-002,Soap Dispenser Set,Bathroom,0.4011,126.61,Email + onsite
CUST-000426,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.4165,179.04,Onsite only
CUST-000427,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.2582,220.97,Email + onsite
CUST-000428,Workspace,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2113,193.46,Onsite only
CUST-000429,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.6699,494.54,Email + onsite
CUST-000430,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.3057,920.26,Email + onsite
CUST-000432,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2625,176.41,Email + onsite
CUST-000433,Decor,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3218,141.89,Email + onsite
CUST-000434,Home Organisation,SKU-KIT-001,Airtight Pantry Labels,Kitchen,0.4633,115.15,Onsite only
CUST-000436,Bathroom,SKU-BED-003,Pillow Protector Pair,Bedroom,0.4809,205.98,Email + onsite
CUST-000437,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2413,391.04,Email + onsite
CUST-000438,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3913,252.48,Email + onsite
CUST-000440,Home Organisation,SKU-KIT-003,Digital Kitchen Scale,Kitchen,0.4371,292.49,Email + onsite
CUST-000441,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.3438,200.93,Email + onsite
CUST-000443,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2438,154.94,Onsite only
CUST-000445,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3614,153.83,Email + onsite
CUST-000448,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.3148,505.62,Email + onsite
CUST-000450,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.3284,388.25,Email + onsite
CUST-000453,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5530,198.92,Email + onsite
CUST-000454,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2700,424.96,Email + onsite
CUST-000455,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3031,186.59,Email + onsite
CUST-000458,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3680,250.22,Onsite only
CUST-000460,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.2604,204.85,Email + onsite
CUST-000461,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3154,249.50,Email + onsite
CUST-000465,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.4853,536.20,Email + onsite
CUST-000470,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3695,202.73,Email + onsite
CUST-000471,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.6038,172.18,Email + onsite
CUST-000472,Home Essentials,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.3524,162.87,Email + onsite
CUST-000473,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.2649,373.49,Email + onsite
CUST-000476,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.3159,705.46,Email + onsite
CUST-000477,Decor,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3310,216.32,Email + onsite
CUST-000480,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3905,156.40,Email + onsite
CUST-000481,Decor,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2448,166.36,Email + onsite
CUST-000482,Decor,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3668,164.26,Email + onsite
CUST-000483,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3747,143.92,Email + onsite
CUST-000485,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.3501,176.40,Email + onsite
CUST-000486,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.5646,186.31,Email + onsite
CUST-000487,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.5029,184.78,Email + onsite
