date,customer_id,campaign_id,campaign_name,campaign_status,ad_group_id,impressions,clicks,cost_micros,conversions,conversion_value,currency_code,device,network
06/06/2024,3251744082,,Awareness_Display_ZA,REMOVED,274069,67537,5641,,198.54,1586.17,usd,DESKTOP,search
30-08-2024,2515743667,888608,retargeting lapsed,enabled,951396,95596,9053,21123086123,442.09,,ZAR	,MOBILE,youtube
05/04/2024,3477383780,497097,Black Friday 2024,,810650,50063,666,5706892934,41.31,,ZAR,desktop,
"June 21, 2024",7860191342,588705,Awareness_Display_ZA,REMOVED,,8495,761,11122439480,9.39,,usd,Mobile,
23/03/2024,3673742763,335573,Brand_SA_Q1,paused,742700,78707,5263,50816806844,404.67,235.98,ZAR	,Mobile,display
2024-10-28,8977335457,633879,brand_sa_q1,enabled,447416,70329,1191,9379347508,69.02,1147.87,USD,mobile,YOUTUBE
2024-09-15,2079910942,682048,Brand_SA_Q1,,968171,80183,8015,75799226408,251.74,,usd,Mobile,SEARCH
15/10/2024,4525141427,931415,retargeting lapsed,ENABLED,23132,75121,6654,22310432184,631.54,,ZAR	,,SEARCH
2024-08-06,3457966064,401898,Retargeting_Lapsed,REMOVED,546612,8825,782,1810341194,62.17,3240.98,zar,,display
09/04/2024,8747164110,847036,Awareness_Display_ZA,enabled,96539,93058,3347,12191651362,20.24,2914.05,ZAR,,DISPLAY
25-05-2024,7465432816,610483,Awareness_Display_ZA,enabled,938033,61576,3352,37781210892,72.99,,zar,Mobile,youtube
28/11/2024,9110297615,,BRAND SA Q1,ENABLED,722397,85101,6837,7565492624,627.96,,ZAR ,Desktop,SEARCH
2024-03-24,2657419138,153855,UNKNOWN,ENABLED,790456,45883,1066,1110985242,,,zar,,search
12/04/2024,2979236106,119472,UNKNOWN,REMOVED,482780,27374,2294,6101794477,24.6,4573.74,ZAR	,DESKTOP,
2024-07-15,6949523996,747965,Black Friday 2024,ENABLED,488251,14112,152,1355478313,0.39,,,DESKTOP,youtube
08/10/2024,9599993543,591191,Black Friday 2024,ENABLED,23491,58968,1730,2874884505,,4332.87,,DESKTOP,DISPLAY
2024-07-27,8263854363,443338,BRAND SA Q1,ENABLED,823114,43525,3603,35452244888,,1886.74,zar,desktop,
2024-02-02,9718256339,660065,Black Friday 2024,REMOVED,278129,12230,333,3539389582,5.25,2810.0,usd,Desktop,YOUTUBE
"January 19, 2024",2081185615,857102,UNKNOWN,,132239,88670,4732,23065989118,321.83,,ZAR ,,search
20240407,5440286187,165434,Black Friday 2024,,162494,27670,846,2154551086,3.41,,zar,mobile,SEARCH
20240120,4963852742,573010,,paused,308684,94245,4522,12148443646,125.79,,zar,tablet,DISPLAY
20241008,3964970374,945100,Black Friday 2024,REMOVED,204267,47372,3134,26411245906,,594.98,ZAR,tablet,DISPLAY
"June 22, 2024",7722612772,926633,retargeting lapsed,REMOVED,886586,93574,5159,,30.36,1646.5,ZAR ,DESKTOP,DISPLAY
,2396244574,413536,brand_sa_q1,,175487,60516,376,4836851841,37.29,4938.66,usd,Tablet,search
20240925,6574874778,802128,Retargeting_Lapsed,,187662,53663,352,4867044149,15.95,1051.12,,Desktop,YOUTUBE
11-11-2024,2413959307,,BRAND SA Q1,,409510,40593,2046,10701724563,109.72,1017.78,zar,Mobile,youtube
"June 22, 2024",2138108088,108113,Brand_SA_Q1,ENABLED,257178,51193,2699,6137309855,13.35,,ZAR ,,search
10-12-2024,6040310868,912046,Awareness_Display_ZA,ENABLED,181134,92575,6947,55053915960,327.34,,usd,Desktop,display
07/04/2024,7161638427,304148,Black Friday 2024,paused,396332,39913,3388,,38.61,,zar,MOBILE,YOUTUBE
2024-05-09,8803162575,354406,Black Friday 2024,REMOVED,357396,61115,773,10872391120,41.29,,ZAR ,,search
2024-04-04,7631658673,381459,brand_sa_q1,ENABLED,724705,60078,6007,73766064403,,144.69,ZAR,Tablet,SEARCH
20240129,6344082192,502067,Retargeting_Lapsed,enabled,100959,76825,7024,82683193837,457.71,252.73,zar,,DISPLAY
2024-08-04,5604549773,694115,Retargeting_Lapsed,,724424,40309,60,469360076,,2838.99,USD,Mobile,YOUTUBE
14/07/2024,,268688,Retargeting_Lapsed,PAUSED,577691,85004,2933,,118.76,1400.26,ZAR ,,DISPLAY
09/03/2024,6322310484,909556,UNKNOWN,paused,,85039,7123,26110886568,,495.55,ZAR	,,YOUTUBE
20240306,4111080242,459109,black friday,PAUSED,670479,21616,786,3488859932,58.55,,zar,mobile,display
"July 03, 2024",8566661483,775634,brand_sa_q1,,121687,68240,1902,,28.3,,zar,tablet,search
16-06-2024,3654933544,794588,UNKNOWN,ENABLED,152889,59612,1584,4933091119,,,ZAR ,tablet,display
20240116,6791853484,520760,Black Friday 2024,PAUSED,266243,64897,1354,2604723827,0.49,1876.11,ZAR ,MOBILE,YOUTUBE
26/09/2024,8729493265,193452,Black Friday 2024,REMOVED,46460,10311,726,7255693736,28.74,180.61,ZAR	,Desktop,search
20240319,5307317774,519940,retargeting lapsed,REMOVED,191337,65011,661,7044842258,63.13,803.14,ZAR ,DESKTOP,YOUTUBE
29-05-2024,6442843159,248493,Retargeting_Lapsed,paused,282607,1777,136,1721640893,0.79,,USD,mobile,search
07-08-2024,6232754104,573443,BRAND SA Q1,ENABLED,,8948,307,4207288605,,2148.08,usd,Desktop,
,1073023654,413426,Brand_SA_Q1,ENABLED,30603,8965,660,7889408007,48.82,4299.56,ZAR ,mobile,SEARCH
"December 06, 2024",6106247567,468911,,ENABLED,147864,68270,1210,4771919496,41.58,,,,
"July 08, 2024",4276038132,466457,,PAUSED,248601,47425,4654,49247042385,286.04,,,tablet,SEARCH
"July 22, 2024",3218097236,196537,black friday,REMOVED,111297,2450,148,2024895668,0.73,4497.5,ZAR ,,display
"June 17, 2024",7764935170,206549,UNKNOWN,PAUSED,928825,14392,893,1805052756,17.29,206.67,zar,Tablet,YOUTUBE
20241011,4199804191,887615,brand_sa_q1,enabled,660977,55342,14,58612084,0.69,3392.49,ZAR,mobile,SEARCH
2024-06-15,1594382799,608414,brand_sa_q1,PAUSED,220144,53056,708,1594500357,42.7,,,mobile,SEARCH
"January 05, 2024",3553117384,208593,Brand_SA_Q1,ENABLED,871001,56208,2326,20411908131,20.42,3920.04,usd,desktop,
14/06/2024,4820945011,189239,BRAND SA Q1,ENABLED,399120,87418,5679,15936030122,,,zar,DESKTOP,
"October 17, 2024",4715820878,389264,Retargeting_Lapsed,paused,229115,31834,2501,26206994312,28.57,892.48,ZAR	,DESKTOP,
"October 18, 2024",6597534605,419076,UNKNOWN,ENABLED,890462,40273,692,4201193297,60.5,3845.47,ZAR	,mobile,display
"August 17, 2024",6343717378,993088,BRAND SA Q1,PAUSED,218376,45746,2387,35551868993,234.23,3469.72,ZAR	,MOBILE,youtube
,1183574481,100547,UNKNOWN,paused,234032,85780,615,8478954574,18.18,4419.26,ZAR	,MOBILE,youtube
,1266032613,604626,retargeting lapsed,REMOVED,765923,80991,5494,31228683604,248.84,251.13,,,search
20241209,9650515469,451894,retargeting lapsed,paused,147756,23534,489,4559743447,0.17,560.34,usd,Mobile,SEARCH
20241230,8615019727,568021,Awareness_Display_ZA,REMOVED,829724,27747,172,2570632478,10.27,,usd,tablet,search
23/06/2024,3593106993,663292,Awareness_Display_ZA,REMOVED,224238,51886,1437,11641292329,22.61,,ZAR	,desktop,DISPLAY
08-03-2024,3206777186,529956,Brand_SA_Q1,enabled,955048,54768,5009,16328157787,442.16,402.43,zar,DESKTOP,search
20240805,6552687555,271008,Awareness_Display_ZA,REMOVED,746683,88431,347,1586131136,30.76,704.36,usd,,search
,5595960794,,retargeting lapsed,PAUSED,980199,31,0,0,,,zar,,YOUTUBE
20240403,3493926658,553355,Brand_SA_Q1,REMOVED,391040,44368,312,1072767279,20.82,,USD,tablet,YOUTUBE
04-03-2024,1771867204,800373,brand_sa_q1,paused,815679,59933,1557,15116485121,135.69,,ZAR,Desktop,
2024-04-24,2145729393,962116,Retargeting_Lapsed,,149131,57059,2638,26990287308,193.24,,USD,Mobile,search
,2587774463,969835,retargeting lapsed,REMOVED,214456,45825,2065,,,3887.04,,MOBILE,
20240317,6727630720,790718,black friday,,874111,99301,9893,137973057401,500.54,,,Mobile,
20241207,5584476454,888796,retargeting lapsed,paused,176824,18646,1643,3191539033,102.55,,,Mobile,
20240416,1595980647,812443,Awareness_Display_ZA,paused,117911,97282,9329,34039133337,112.93,,USD,mobile,YOUTUBE
2024-04-28,5159693374,567090,brand_sa_q1,REMOVED,566535,70278,81,67040486,6.34,,ZAR	,,DISPLAY
20240406,2225666339,629161,black friday,REMOVED,837640,4859,306,,26.94,48.96,USD,MOBILE,
01-04-2024,7342061218,489792,black friday,,618321,99727,6076,16094936329,61.56,3619.45,USD,tablet,display
,3769274127,,black friday,enabled,781432,34983,1861,9395607038,109.48,295.72,USD,,YOUTUBE
"February 02, 2024",4724989299,413631,retargeting lapsed,paused,567190,20295,780,,26.69,2899.12,USD,tablet,
20240115,3242971884,536711,Retargeting_Lapsed,,921858,92134,1372,14550952535,32.65,2683.85,ZAR,tablet,SEARCH
2024-08-08,9744987277,951840,black friday,paused,246174,53468,694,562225256,41.29,3984.33,,tablet,SEARCH
20240728,8101124542,703656,Awareness_Display_ZA,enabled,772637,88760,4186,46176236210,314.45,1792.46,,,DISPLAY
,6733822202,770012,retargeting lapsed,REMOVED,171993,77398,911,13503723746,,,,DESKTOP,SEARCH
,6826938988,284442,brand_sa_q1,enabled,352571,82246,1681,13694266373,144.61,534.02,,tablet,
22-01-2024,5934243966,326803,black friday,,516411,7447,119,628219415,5.57,,,Tablet,YOUTUBE
,2126691342,444163,Retargeting_Lapsed,enabled,671872,32323,1030,8861816993,72.18,2661.82,,tablet,display
"November 13, 2024",7510073757,976256,Black Friday 2024,paused,828378,89602,1380,11469178367,135.78,,ZAR	,Desktop,DISPLAY
"March 09, 2024",6301597352,502709,Retargeting_Lapsed,PAUSED,903326,55438,3235,25911608039,252.3,,,tablet,
2024-01-09,6856451536,514224,UNKNOWN,ENABLED,456457,93510,900,825327301,39.98,,,Desktop,SEARCH
"July 29, 2024",4373814250,229213,BRAND SA Q1,enabled,750936,93821,8341,111672058511,126.33,3213.9,ZAR ,,SEARCH
2024-03-23,7606344399,832557,Brand_SA_Q1,,793633,62610,3052,,268.08,3340.61,USD,,SEARCH
20240801,5275574959,750372,Brand_SA_Q1,PAUSED,221416,59494,5311,48058291193,383.34,,USD,mobile,YOUTUBE
08/04/2024,1564071987,365521,UNKNOWN,paused,59035,77407,5644,55010116457,53.66,4910.1,USD,,search
2024-08-29,2363907576,627056,black friday,ENABLED,832973,81788,2346,32864857947,194.05,,ZAR	,DESKTOP,display
08/12/2024,1002991916,299286,black friday,ENABLED,972404,77447,3778,35459641790,302.64,494.82,zar,Tablet,YOUTUBE
2024-02-14,2946900326,808158,Black Friday 2024,ENABLED,38095,3104,51,578082064,3.38,3351.44,usd,DESKTOP,youtube
,1141774940,607095,Retargeting_Lapsed,REMOVED,72147,56541,2909,23835880323,15.35,,ZAR,DESKTOP,youtube
"August 11, 2024",2938534622,930159,BRAND SA Q1,,587076,63256,1650,18770220836,55.21,,ZAR	,MOBILE,display
25/07/2024,4407946248,718910,Retargeting_Lapsed,ENABLED,903454,27916,1978,23283350772,20.48,2328.92,ZAR ,Desktop,DISPLAY
2024-01-30,7118945289,263648,,REMOVED,361713,98242,3448,37741116921,,2273.58,ZAR	,MOBILE,youtube
2024-10-31,9386570154,684126,black friday,enabled,404772,2625,102,794781301,0.66,4946.36,,,SEARCH
20-06-2024,2172517215,213157,Awareness_Display_ZA,enabled,617248,10543,489,4420518037,37.06,2563.05,,DESKTOP,YOUTUBE
,4808052923,457611,brand_sa_q1,,251119,39965,2357,10419988514,145.43,,zar,Desktop,display
"July 01, 2024",9107134730,215903,Awareness_Display_ZA,enabled,37572,24892,2473,19162170028,178.71,4633.79,USD,Mobile,display
20240129,5350095508,240478,Brand_SA_Q1,paused,507418,85018,1385,5405501885,62.24,4865.09,,Desktop,youtube
2024-12-16,7894032271,309684,Brand_SA_Q1,REMOVED,821942,89449,2644,26260131874,137.98,,ZAR ,tablet,youtube
03-10-2024,9823433280,444482,Retargeting_Lapsed,enabled,303610,21425,66,571066989,,3693.08,USD,Desktop,
07/01/2024,3297172151,584622,retargeting lapsed,enabled,810480,61853,1761,3475224241,20.51,,,Tablet,DISPLAY
2024-10-15,7847752954,941687,Brand_SA_Q1,REMOVED,896464,9988,354,5017252242,11.66,3817.97,,DESKTOP,YOUTUBE
"May 07, 2024",8394282175,285891,UNKNOWN,PAUSED,179702,43235,1352,12598292304,,626.79,zar,,YOUTUBE
16/01/2024,9758549408,295257,BRAND SA Q1,enabled,277341,91124,5397,5904656963,285.26,,ZAR ,mobile,display
09/05/2024,8323768260,603964,Awareness_Display_ZA,paused,649058,17980,1718,5807519220,74.55,2036.61,usd,Mobile,SEARCH
"March 12, 2024",1756194638,309725,Brand_SA_Q1,,344676,61298,5810,60080912291,,520.52,ZAR	,Desktop,SEARCH
20240810,2975312527,915144,black friday,enabled,122551,49188,3771,54921297509,262.03,1598.57,ZAR ,desktop,display
2024-10-19,9928582728,288484,brand_sa_q1,PAUSED,155103,27079,1394,19351185988,117.2,720.26,usd,Tablet,
"January 17, 2024",7986489065,382837,UNKNOWN,REMOVED,771435,78116,2391,31021801040,84.95,,ZAR	,,YOUTUBE
20240809,6273653386,594643,retargeting lapsed,enabled,180497,16301,869,3103835270,7.03,,,Desktop,
10/11/2024,8811391762,881273,BRAND SA Q1,REMOVED,244556,24107,2361,7293721886,34.8,2865.45,ZAR	,mobile,youtube
"November 22, 2024",2021367955,716767,BRAND SA Q1,PAUSED,831103,5530,291,,19.42,,ZAR,desktop,DISPLAY
"February 24, 2024",7800444724,725010,Awareness_Display_ZA,REMOVED,308090,53309,3233,35247425115,,637.22,,MOBILE,search
"December 19, 2024",6273757090,691539,brand_sa_q1,ENABLED,174829,1468,31,291671047,2.56,2285.42,ZAR ,DESKTOP,
21/07/2024,1994002734,857982,BRAND SA Q1,paused,650664,83702,1129,1762160715,105.71,,,Mobile,YOUTUBE
2024-06-03,8671822806,556342,black friday,ENABLED,197051,12993,153,129205231,3.26,,ZAR	,Desktop,search
2024-01-20,2505814662,755695,,,618680,57307,1778,6237933646,78.93,3333.72,ZAR,,
26-10-2024,4194815481,364665,Black Friday 2024,,722391,51307,4732,69865645285,,1362.54,ZAR,DESKTOP,SEARCH
06/03/2024,7105791813,131085,Black Friday 2024,REMOVED,86188,1894,20,16802783,1.76,4424.43,USD,tablet,SEARCH
2024-06-05,8641972730,745122,,ENABLED,461123,14996,229,3177271161,3.66,2071.63,ZAR,,display
2024-03-13,1265427004,505127,Brand_SA_Q1,enabled,622105,5469,322,705750928,,3884.01,,MOBILE,youtube
20241222,5757013584,300643,BRAND SA Q1,PAUSED,466114,48017,688,2934925083,25.43,4680.14,ZAR	,Desktop,
24-03-2024,4753181641,657265,retargeting lapsed,paused,81021,78092,1502,2811267476,2.81,,ZAR	,,
20240307,5576186813,319966,Retargeting_Lapsed,,840628,24615,2363,18737164647,81.31,850.19,,DESKTOP,YOUTUBE
20240929,1859594551,534165,Awareness_Display_ZA,enabled,635841,23000,337,677913799,22.54,2409.84,ZAR	,MOBILE,DISPLAY
29/04/2024,2651089896,374672,Awareness_Display_ZA,enabled,397139,1131,45,637091420,2.02,,ZAR	,Tablet,DISPLAY
27/03/2024,2875632804,451460,Black Friday 2024,paused,714779,73927,3132,43760060250,285.95,475.61,ZAR ,mobile,
18/01/2024,5295191515,686403,Retargeting_Lapsed,enabled,,57099,1972,25907728636,24.94,857.46,,Tablet,display
20240601,2147610203,977797,Black Friday 2024,paused,414145,14512,317,721775062,25.18,735.35,zar,DESKTOP,YOUTUBE
20240123,6977307309,157040,black friday,PAUSED,45241,93401,5889,14643772691,309.66,,ZAR	,Mobile,search
"January 19, 2024",3863200448,411148,BRAND SA Q1,PAUSED,425235,47487,3032,23534954700,33.33,,usd,Desktop,search
02/01/2024,5125164831,876341,Awareness_Display_ZA,paused,806760,38809,3839,10610758027,,,ZAR ,,search
02-01-2024,9435529164,364581,Awareness_Display_ZA,REMOVED,688405,19440,416,6197974396,21.55,3176.2,ZAR ,mobile,SEARCH
30/12/2024,7792121018,809270,retargeting lapsed,enabled,797494,49721,1188,1877460058,50.09,,ZAR	,tablet,search
11/04/2024,7418233755,321367,Awareness_Display_ZA,paused,542944,17379,1098,8540209358,35.88,,ZAR	,desktop,DISPLAY
18-02-2024,6749339476,575097,retargeting lapsed,,723473,85321,3251,43267644441,136.93,,,Mobile,DISPLAY
03-06-2024,4077685190,666711,Awareness_Display_ZA,REMOVED,553489,21266,1383,1524248520,129.62,,ZAR,,search
"July 23, 2024",4802594991,898125,brand_sa_q1,,714208,17648,460,1119043155,7.18,2703.73,ZAR	,Tablet,YOUTUBE
27-01-2024,6043490370,941047,Black Friday 2024,PAUSED,720287,62909,324,2052729567,,1305.34,USD,mobile,youtube
2024-08-03,8445396540,572050,Black Friday 2024,enabled,34242,33588,1606,12468213423,151.91,,zar,DESKTOP,
2024-05-05,2549558807,791550,brand_sa_q1,,184513,31124,213,666208802,8.2,,usd,,youtube
2024-10-10,1856731737,548040,UNKNOWN,,151696,33320,2039,25040083052,118.32,451.89,ZAR,tablet,youtube
18-06-2024,7043504544,634570,BRAND SA Q1,paused,410724,52886,4862,44429869720,345.38,,usd,mobile,SEARCH
,5662391135,114851,Brand_SA_Q1,ENABLED,885870,63286,3965,49269842005,202.86,1990.31,USD,tablet,youtube
26-02-2024,7621791291,315894,Brand_SA_Q1,enabled,903627,71268,5573,14443463666,,,,,YOUTUBE
20240902,8087263415,994121,black friday,ENABLED,916269,77842,6990,,478.47,2835.33,usd,tablet,YOUTUBE
"November 29, 2024",4325635304,820130,Awareness_Display_ZA,,221403,39515,1620,,5.67,371.24,ZAR,tablet,search
,8177688706,777660,UNKNOWN,REMOVED,921718,48750,3893,46147232742,13.33,,usd,tablet,SEARCH
,6913964657,244894,black friday,PAUSED,347034,79375,4172,46156442423,284.68,,ZAR,,display
2024-03-11,2457079090,554777,UNKNOWN,,695331,71853,1149,7378707992,55.98,1061.83,zar,,DISPLAY
"January 04, 2024",6740931673,471229,BRAND SA Q1,,867661,8151,129,1475157285,11.62,4629.11,USD,DESKTOP,
"August 12, 2024",5025519989,681942,Brand_SA_Q1,REMOVED,850836,11824,505,1653713538,0.43,1851.22,ZAR	,Mobile,
30-04-2024,7242571108,451930,Brand_SA_Q1,ENABLED,376121,3075,177,2117965628,7.74,,ZAR,desktop,YOUTUBE
2024-08-09,9148269518,694965,,enabled,17079,15543,744,6900075151,44.33,,usd,Mobile,SEARCH
08/02/2024,8587277687,133257,brand_sa_q1,paused,866506,83052,3064,31640854125,35.43,2137.4,zar,,youtube
30/11/2024,4708400991,641502,,REMOVED,815663,31787,113,533479952,9.54,4363.62,ZAR ,,search
"October 17, 2024",2371532070,261981,Black Friday 2024,REMOVED,785669,45522,4350,52933812314,274.85,1653.95,usd,,youtube
2024-01-20,5540238065,994777,retargeting lapsed,paused,170713,2641,147,763649794,13.62,796.31,,,
03/08/2024,6556897499,108026,Awareness_Display_ZA,enabled,572424,11674,150,743290613,14.54,1723.47,,Desktop,
18/10/2024,9533162264,642330,BRAND SA Q1,REMOVED,691111,5648,151,1050550280,6.07,,USD,Mobile,display
,7858930188,174360,BRAND SA Q1,REMOVED,68972,27838,1072,12394132214,33.88,,ZAR ,desktop,DISPLAY
19/05/2024,2178999670,488610,BRAND SA Q1,ENABLED,314263,94511,7809,7595199939,611.83,2134.26,,MOBILE,SEARCH
18/05/2024,1660052746,583859,Black Friday 2024,,572323,95966,2038,,146.97,1483.48,USD,desktop,search
20240827,9369164723,389915,Brand_SA_Q1,REMOVED,314282,59657,2556,26339893725,52.17,4685.23,USD,mobile,search
20240503,5720802564,202261,brand_sa_q1,paused,953196,29605,957,,9.13,,ZAR	,MOBILE,
01/12/2024,4907555781,622980,Black Friday 2024,enabled,,81531,3368,26089483189,295.35,,ZAR	,DESKTOP,youtube
06/08/2024,1419350795,707970,Black Friday 2024,enabled,220097,77056,7066,46845537873,335.08,4756.64,ZAR,,YOUTUBE
20240416,1595980647,812443,Awareness_Display_ZA,paused,117911,97282,9329,34039133337,112.93,,USD,mobile,YOUTUBE
,2019762747,553286,UNKNOWN,,889598,10069,144,1165288663,8.97,,,Desktop,
20241001,3575226246,136142,black friday,REMOVED,824265,83993,972,4418505473,39.79,,ZAR,,youtube
"September 20, 2024",2132343561,871489,Awareness_Display_ZA,REMOVED,12441,15536,1026,4642998161,54.8,4105.2,USD,MOBILE,
27/07/2024,9006071524,293145,brand_sa_q1,,884212,57176,1899,20899255874,124.01,2650.64,usd,DESKTOP,DISPLAY
"November 01, 2024",7514601693,238795,brand_sa_q1,enabled,710653,16806,1280,12220611383,70.38,2530.49,,Mobile,SEARCH
"October 06, 2024",3482798127,764394,black friday,PAUSED,961266,31685,2149,13380099577,37.59,1860.61,ZAR	,Mobile,youtube
27/10/2024,7856027623,421532,BRAND SA Q1,PAUSED,602925,4440,85,986935550,5.97,822.54,ZAR ,Mobile,YOUTUBE
,1279483056,896694,Brand_SA_Q1,enabled,147235,93469,1461,19554310590,112.2,4859.66,ZAR ,Mobile,search
20241111,7512401815,641796,brand_sa_q1,,375617,85544,6994,70915745806,27.52,4955.89,USD,Mobile,YOUTUBE
09-12-2024,1392634933,328624,Awareness_Display_ZA,PAUSED,628572,10057,712,5825438115,,,,desktop,display
11-01-2024,1374941145,806981,retargeting lapsed,ENABLED,92089,15383,955,12423036000,,,ZAR ,,display
28-12-2024,1730354850,823863,Awareness_Display_ZA,,198995,95199,6708,92236476963,15.05,4339.41,ZAR,Tablet,search
2024-05-31,1525495987,730643,Retargeting_Lapsed,paused,554280,61148,833,761420379,67.09,1215.59,ZAR,,search
2024-01-21,9596631889,612694,brand_sa_q1,paused,649619,13844,121,327152404,4.57,,ZAR ,mobile,YOUTUBE
31/10/2024,3215963485,558513,Awareness_Display_ZA,REMOVED,332479,99186,651,4825811797,59.22,,ZAR ,,
2024-06-14,9091891108,624556,brand_sa_q1,,738653,23401,1946,19044511017,,,ZAR ,Mobile,YOUTUBE
20240411,8439605303,321880,retargeting lapsed,paused,673550,94040,2715,5870121182,107.94,,USD,,SEARCH
2024-04-09,8110866462,566748,UNKNOWN,,286448,24391,1281,,85.68,,ZAR,,YOUTUBE
20240501,1670424928,917283,BRAND SA Q1,,560659,70348,6185,14179525370,403.26,3114.52,zar,MOBILE,display
2024-07-09,1459264842,556831,black friday,enabled,673260,47499,667,2331221574,35.34,269.97,zar,,
20240902,8452057946,544319,black friday,paused,293038,75400,1447,4781086391,141.84,2731.78,ZAR ,Desktop,
20241113,6258420457,870427,UNKNOWN,PAUSED,680094,56806,1984,3717343080,173.26,,,tablet,
2024-10-01,,156698,Brand_SA_Q1,PAUSED,917046,57289,3328,18573672907,71.59,,USD,MOBILE,DISPLAY
20241220,9899639024,873648,Awareness_Display_ZA,REMOVED,,2313,225,262579683,10.11,,usd,mobile,search
,8899320537,839416,black friday,PAUSED,511894,48661,632,3083168953,49.37,2015.5,,Desktop,search
25/05/2024,9943993259,520820,Brand_SA_Q1,ENABLED,525253,39430,3331,27686629877,281.31,,ZAR,tablet,SEARCH
01-06-2024,6819324800,143803,brand_sa_q1,REMOVED,669948,52321,1,7135203,0.09,2136.55,zar,tablet,
"May 21, 2024",8767696157,944906,Awareness_Display_ZA,paused,576902,15100,1350,3437705726,38.13,4818.72,ZAR	,DESKTOP,YOUTUBE
,5837027094,,Brand_SA_Q1,ENABLED,566555,47749,4165,48009633583,324.17,,usd,Tablet,YOUTUBE
28/12/2024,8900428099,311527,brand_sa_q1,enabled,318785,5160,235,1329478279,16.85,4933.98,ZAR,tablet,
2024-09-23,7397349578,384125,UNKNOWN,ENABLED,355115,22272,514,6151903251,27.94,4927.85,ZAR	,Tablet,search
20240823,3954313113,920375,Brand_SA_Q1,PAUSED,780720,3971,217,2891414810,5.09,193.67,usd,Tablet,YOUTUBE
,9645415616,320544,Brand_SA_Q1,,23568,41295,3426,12200148665,72.43,2569.32,ZAR	,Tablet,YOUTUBE
2024-11-12,8493355471,,Brand_SA_Q1,REMOVED,110348,37122,75,640101077,0.27,466.96,ZAR,MOBILE,
13/11/2024,1160950008,586153,UNKNOWN,ENABLED,252984,97205,7993,86407698139,,4761.9,usd,,DISPLAY
05-10-2024,9073239360,790818,Brand_SA_Q1,REMOVED,634361,31395,1029,13572921265,48.61,2049.69,zar,DESKTOP,display
,1086718447,860642,brand_sa_q1,,192466,51479,5061,53437792937,,1431.93,usd,,SEARCH
