date,channel_id,video_id,video_title,country,device_type,traffic_source_type,views,watch_time_minutes,impressions,impressions_click_through_rate,likes,comments,estimated_revenue_usd
20241225,UC80763364844,cKoUOIBKPDd,,ZA,DESKTOP,EXTERNAL,91639,41685.2,815551,0.1977,,4382,113.6435
"December 21, 2024",UC83151775784,KVAmuuS5fs7,Product Demo,,UNKNOWN,SUGGESTED,4163,8627.9,24554,0.1129,525,172,
26-10-2024,UC97462969639,7VIRqX5dLKL,,,DESKTOP,,67035,146933.1,237286,,6431,2711,11.8496
20241204,UC10114769010,wSBI-LIJ71w,Product Demo,ZA,TABLET,,21273,24816.7,206557,0.0917,3643,,94.2908
"August 24, 2024",UC51695911319,9u-m2wXhRw9,Customer Testimonial,za,,BROWSE,38527,21591.6,281384,0.1724,3760,920,1.1524
11/12/2024,UC11118913921,Prwy83HEy1p,Customer Testimonial, South Africa,DESKTOP,EXTERNAL,88034,126234.9,525639,0.1505,10810,1440,222.5154
27-10-2024,UC35062095729,EU9Gl1Vi11K,Product Demo,,,BROWSE,33339,84080.9,197354,0.011,5609,286,89.3516
09-10-2024,UC27148948860,wQF7Z35dHaL,,South Africa,,,66194,77898.7,413781,0.2433,10971,1228,103.8662
2024-02-12,UC49048859018,yxvQlQCsZDW,Customer Testimonial,RSA,TABLET,PLAYLIST,73378,109687.2,582038,0.1541,10204,1913,304.3089
"November 21, 2024",UC43493998956,jvR5Djf5iJd,, South Africa,MOBILE,PLAYLIST,61088,46885.9,460229,0.1327,3255,980,297.3542
2024-12-05,UC99655237030,fD9NCZvENGR,,rsa,,SUGGESTED,62076,,564935,0.0331,10064,2403,
2024-08-09,UC85210860586,60sE0Ln6aL3,Product Demo,za,DESKTOP,BROWSE,81557,78687.5,222065,0.2452,4560,1377,
26-07-2024,UC79484855892,5h0O93gO_ro,How It Works,ZA,TV,,50719,126897.8,436360,,2015,,155.9079
2024-01-09,UC66648356750,TSg1SXA1QcO,Customer Testimonial,South Africa,TV,SUGGESTED,10245,29859.3,18136,0.2127,999,195,24.0718
13/02/2024,UC36397130012,aFyJYHuMeI1,, South Africa,TABLET,EXTERNAL,76935,29504.1,169871,0.1003,8841,,318.641
16-11-2024,UC71384947207,AUjPITYnUAt,Product Demo,,TV,,60736,152834.2,336077,0.1309,9499,1389,136.1812
30/12/2024,UC75425040794,YARub9so15E,Product Demo,RSA,TV,,46959,,26998,-0.0015,,2348,232.1462
2024-03-10,UC20415505176,-vq7ifa9dOF,Product Demo,rsa,MOBILE,BROWSE,70872,44707.3,225416,0.1028,11785,,31.7845
2024-02-21,UC77370004580,cYaPvdledqO,How It Works,za,TABLET,BROWSE,34598,38953.9,196580,0.1706,4395,668,135.978
"May 10, 2024",UC44610914950,UTNuY51ivWz,Product Demo,rsa,MOBILE,EXTERNAL,91318,272156.7,369620,0.0079,12772,3996,282.5591
20241010,UC31844526646,jXx3f9Gb-C7,Customer Testimonial,South Africa,MOBILE,YT_SEARCH,82947,141372.6,270154,0.0583,2591,3843,267.1606
"April 23, 2024",UC53704105954,cBnzlkuKWhC,,ZA,UNKNOWN,,45495,18044.9,98651,0.2442,1994,296,
14/03/2024,UC54252846958,g5Tu4phU0By,Customer Testimonial,,MOBILE,BROWSE,27128,15297.6,270495,0.0318,922,205,87.4759
20241114,UC82475479739,SiQkXLnM6R2,,rsa,MOBILE,,74914,5670.8,553780,0.1575,13512,550,341.2619
20240127,UC91902471158,A6y3NT5IYQx,How It Works,south africa,TABLET,YT_SEARCH,82988,,705336,,5241,2048,
20240808,UC68554051026,jN10OEHkbI9,,rsa,TABLET,PLAYLIST,49785,25739.0,415218,0.0968,4387,1930,
06-02-2024,UC47270599771,aqEpSRxOXwc,, South Africa,TV,SUGGESTED,84295,,328236,0.003,12676,2236,171.0164
"October 17, 2024",UC37935158839,Te5bTidrYdJ,How It Works,rsa,TABLET,YT_SEARCH,97171,169904.2,252344,-0.0066,17092,4525,
"November 03, 2024",UC58518892414,PU6mru6vFgr,,za,TABLET,BROWSE,80474,97960.2,329190,0.1604,4542,3839,189.0055
23-05-2024,UC80350548729,fnA58Leyxgv,Product Demo, South Africa,MOBILE,,87725,146471.6,389671,0.1561,3676,1927,380.8626
2024-04-08,UC96358313443,rO-99jITvFe,Brand Story 2024,RSA,UNKNOWN,EXTERNAL,53155,152311.7,42132,0.0337,8647,1528,218.9088
,UC28892292218,x0GbP5ZWgdg,How It Works,,TV,SUGGESTED,95063,86638.2,344540,0.1215,15569,1978,431.3536
2024-08-22,UC22177848127,Yos9AhTcyzR,How It Works,rsa,UNKNOWN,EXTERNAL,2323,6113.4,7603,0.0268,210,40,
,UC52906638190,Xo1tKOIeg7K,How It Works,RSA,MOBILE,PLAYLIST,77538,170324.5,245205,0.2334,6320,3849,338.5263
2024-09-07,UC95754597913,z20bTjTazVv,, South Africa,,YT_SEARCH,5859,3232.9,56599,0.0677,581,133,
2024-02-09,UC55834241958,qlzd3C0wgR5,,rsa,MOBILE,BROWSE,24519,15295.0,231667,0.0156,712,713,86.9756
11-09-2024,UC37033831065,pPTxuLlMH3j,How It Works,South Africa,UNKNOWN,YT_SEARCH,49118,,,0.104,,,24.1983
2024-01-24,UC40196539845,Gv82_bP4dTq,,ZA,TV,,90610,207842.0,416454,0.0495,16875,1108,107.606
20240418,UC30910320964,OXNzxpmUYOZ,Customer Testimonial,South Africa,UNKNOWN,PLAYLIST,46746,64090.4,357409,0.1623,5323,421,
20240817,UC24747460154,,How It Works,south africa,TV,SUGGESTED,95052,253161.8,18607,0.0349,659,3999,467.5103
"April 08, 2024",UC46529710734,vzBnRZ0chGs,,,MOBILE,,25699,21320.5,67526,0.1308,4092,937,1.9933
20240928,UC16249152056,CG1Lywh6QWP,How It Works,rsa,,,25198,72175.3,197553,,1536,1028,30.5498
28/08/2024,UC20432566387,1h8vJJSzIsB,,,TABLET,,2960,80.8,3446,0.1051,574,42,
20240703,UC85365376858,mB7fofLG3nH,How It Works, South Africa,DESKTOP,SUGGESTED,3964,3744.5,3087,0.2441,,159,10.71
2024-06-17,UC83232738530,6mNn61DNv3Z,How It Works, South Africa,MOBILE,PLAYLIST,65805,188624.1,620645,0.2207,462,,
13-02-2024,UC49036255439,0okxmdAOkUT,,,MOBILE,,66247,66860.7,523107,0.1443,5048,2756,310.8975
2024-02-12,UC55875511820,n6ahHtGIjEe,,,TABLET,PLAYLIST,51236,106926.4,345465,0.1363,3681,501,
"September 02, 2024",UC60437701533,iKFVmLoOqGr,Customer Testimonial,south africa,TABLET,PLAYLIST,77673,202202.4,,0.1914,6309,,300.6387
"August 28, 2024",UC20311087090,r1Lz-mZiIPS,How It Works,,UNKNOWN,PLAYLIST,17164,1327.3,110437,,2851,678,53.4104
,UC16876593872,kmkJVsm-z_y,,,UNKNOWN,YT_SEARCH,92721,70721.2,764657,0.1955,10037,,4.4658
16-06-2024,UC63240736908,rRM0Lf5ALVC,Customer Testimonial,,TV,YT_SEARCH,923,2709.1,1985,0.1167,17,31,1.4196
"February 06, 2024",UC52450427372,oSWgXVzV5Es,How It Works,south africa,,,30956,60875.0,246768,,904,940,136.8857
24-06-2024,UC47252952444,xXXgLynbJfD,Customer Testimonial,South Africa,,EXTERNAL,11445,11014.9,11080,0.1224,923,302,32.854
"August 06, 2024",UC41971252371,iItEjkJ-YCa,,za,DESKTOP,,18541,38807.2,183154,0.0331,544,178,38.949
2024-08-13,UC58978476048,XwDOXgAZVue,,rsa,TV,EXTERNAL,25707,29379.9,192767,0.1449,3715,148,
07-03-2024,UC23824067431,RsmY3l2laZZ,Product Demo,ZA,,SUGGESTED,55860,10563.8,309744,0.1392,1165,,264.0871
12-11-2024,UC47272711497,16esXjBdv_5,Brand Story 2024,south africa,TABLET,EXTERNAL,28033,35781.4,22906,0.1425,2371,1235,30.2733
"January 01, 2024",UC51628550322,Mmc688e7tX2,,South Africa,,YT_SEARCH,79887,161457.1,445310,0.0401,493,2085,103.6182
,UC53913579745,3_I-m1cBHQ6,Product Demo,,TABLET,BROWSE,75933,213607.5,152730,0.151,2285,3325,
20240922,UC24781141976,TIev1_B1SsW,How It Works,south africa,TV,,27951,75513.3,178063,0.2141,1508,,18.405
2024-11-10,UC93096608641,tLom0yC2A_e,Customer Testimonial,,MOBILE,,13215,23671.4,98107,,2635,287,31.7204
2024-12-18,UC86195994054,-Nu-mRPrikE,, South Africa,TABLET,PLAYLIST,14675,35753.3,77917,-0.0023,1201,424,
,UC25481318593,Jq7VLKpq0FZ,How It Works,RSA,TABLET,PLAYLIST,16289,28036.5,156517,0.2325,714,154,34.5709
20241229,UC44630464544,ojUNpKThRFM,,south africa,,,34233,57809.3,317545,0.0648,5326,,92.1302
"May 27, 2024",UC48033169719,L5ePo3apN5r,How It Works,,TV,PLAYLIST,70189,23667.5,678840,-0.0025,3407,530,238.4985
"April 22, 2024",UC87980849609,KkKNbNLQne2,How It Works,south africa,TABLET,PLAYLIST,90423,5621.6,485284,0.1266,7469,,118.7208
02/04/2024,UC20024878863,pFwLdvOLjng,Brand Story 2024,RSA,DESKTOP,EXTERNAL,95289,24225.8,,0.2094,683,,156.0999
22-11-2024,UC28343515831,KMPFdhp5MPG,Brand Story 2024,rsa,,EXTERNAL,8187,8517.6,7097,0.1857,851,297,
2024-12-11,UC64355899661,mPNTZCfCbCz,How It Works, South Africa,TV,PLAYLIST,36038,48661.7,126603,0.2342,3525,934,
08/03/2024,UC93168636150,PWY2A5b3pej,Customer Testimonial,south africa,DESKTOP,EXTERNAL,81633,176388.4,628258,,13895,2986,216.5958
,UC66486594070,TG832ctHV2o,,South Africa,,,77125,,487389,0.117,11998,1027,146.5563
20241213,UC43034732984,KLapN_iIIEI,Customer Testimonial,RSA,TV,,32821,22144.3,74405,0.0665,71,76,86.4662
02-06-2024,UC23950924802,mH3J_ZMhU61,How It Works,,UNKNOWN,EXTERNAL,82992,3898.6,46112,0.1486,7064,,156.4101
,UC12842202074,cY5NBZimOjP,, South Africa,TV,EXTERNAL,15761,3433.7,115496,,2751,743,23.7906
20241019,UC79980766286,Nx4QZsYytpV,Product Demo,South Africa,,BROWSE,84979,60446.0,,0.1772,14803,2920,298.1252
20240513,UC47564721441,6rTMBcxt2aG,Brand Story 2024,RSA,MOBILE,,27684,31047.7,6237,0.2276,3118,402,88.2553
"August 18, 2024",UC19737259172,fddDvwCqfG9,,za,TV,BROWSE,92492,200517.0,320659,,12771,507,145.2342
"December 07, 2024",UC34880019786,yRzSX3RQV7L,Product Demo,,UNKNOWN,YT_SEARCH,79458,67439.6,468634,0.0954,327,2459,166.0072
16/06/2024,UC74584530462,hHaBw0PB8A-,,,DESKTOP,EXTERNAL,6637,14408.8,11200,0.0684,217,291,
"September 27, 2024",UC93722620355,tb5C5EuTtf6,Brand Story 2024,rsa,,,6422,487.2,8256,0.1732,383,123,
"April 06, 2024",UC29315758258,YwULRHdYmJJ,How It Works,rsa,TABLET,BROWSE,33074,,291325,0.0242,3700,541,16.9564
"October 25, 2024",UC89146236899,dpWbG9_2SPd,,South Africa,TABLET,EXTERNAL,93408,155217.7,312826,0.222,13016,950,155.9301
02/07/2024,UC74636721903,RT16WaO3ey2,,rsa,TV,,53627,28459.5,106234,0.2243,9853,,173.4094
01-08-2024,UC69084686551,W8dNjrsZilN,Brand Story 2024,ZA,TABLET,SUGGESTED,20753,53566.5,200801,-0.0033,2907,858,22.7289
06-02-2024,UC62416976749,c7e_fuajyxa,,South Africa,TABLET,BROWSE,21994,26330.1,207496,0.0706,178,1048,107.4214
"September 29, 2024",UC24008103877,1_hBQXyURx-,Customer Testimonial, South Africa,DESKTOP,PLAYLIST,90908,72931.9,882697,0.1495,9189,2932,
20240730,UC32296327194,SdEMYWAwbCC,,RSA,UNKNOWN,SUGGESTED,60314,179103.8,593026,0.1901,6907,2110,
"April 27, 2024",UC26876954601,tUiPikqIQ_P,How It Works,za,UNKNOWN,,90712,223337.9,695431,0.0898,16408,3829,129.7258
"October 24, 2024",UC13749523033,KXY3vB_qP6N,Product Demo,RSA,TV,BROWSE,38178,72228.5,339586,0.1221,4704,355,163.6733
"September 07, 2024",UC91213571263,4ZAsGkYJ-t6,How It Works,rsa,,YT_SEARCH,49045,126786.9,,,6138,2452,
"July 26, 2024",UC50247743807,Kyn1DKAwcp6,Customer Testimonial,,,BROWSE,51637,110926.4,30651,,8754,,22.2693
"June 23, 2024",UC44708879171,8Y-q157dhi4,How It Works,,,,10476,20892.0,97920,0.1481,1954,27,
2024-12-07,UC24988374657,WVHt4JnnmAj,,South Africa,UNKNOWN,PLAYLIST,70833,194899.4,151151,0.209,13214,283,172.8148
04/11/2024,UC31683140208,PA0_5OC4_VW,Brand Story 2024,South Africa,MOBILE,,20589,19783.0,66367,0.2125,2123,210,
2024-02-18,UC12503631892,sX5B9TvhCx_,Brand Story 2024,RSA,UNKNOWN,BROWSE,10812,23480.4,62690,0.2118,646,,47.9813
20240521,UC58443393344,t-qwVbcXm8j,Brand Story 2024,,MOBILE,YT_SEARCH,51140,,443592,,8712,,143.6217
09/03/2024,UC56705838743,8Uj4ySBMqlq,,,,PLAYLIST,96597,,561247,0.1032,751,4262,428.3344
02/12/2024,UC69871053743,QNC4zMpQ8Kn,How It Works,,UNKNOWN,YT_SEARCH,22365,22366.6,56651,0.0253,1761,650,35.2371
20241014,UC37911047068,ScJBZRZA-ZA,How It Works,,,,70952,78800.4,267641,0.057,2238,1144,190.6322
2024-01-16,UC24930522057,IWe5g9WM47q,How It Works,,TABLET,SUGGESTED,63226,74651.9,415851,0.0358,885,,298.3613
11/12/2024,UC11118913921,Prwy83HEy1p,Customer Testimonial, South Africa,DESKTOP,EXTERNAL,88034,126234.9,525639,0.1505,10810,1440,222.5154
15/05/2024,UC91392904521,8NE4WzFtJhU,Brand Story 2024,,,EXTERNAL,62506,75005.3,,,2350,592,274.7902
15-09-2024,UC45099937307,4ZEtz_a7xgr,Customer Testimonial,ZA,MOBILE,SUGGESTED,71599,103676.4,111087,0.1229,,,21.9837
09-02-2024,UC98876145104,1yohuMtd7_p,,za,TV,EXTERNAL,46159,112974.2,454586,0.0146,,,183.4973
20240921,UC38236840978,1SE4BvR41Nl,Brand Story 2024,,UNKNOWN,EXTERNAL,80879,84675.1,584552,0.1531,7014,886,26.6662
20241028,UC75042698029,VUrPWtMsaEe,Product Demo,south africa,TABLET,SUGGESTED,29683,46606.1,69518,0.1743,4110,,65.44
"June 12, 2024",UC33945301185,Aqb9L0lq0xm,Customer Testimonial,ZA,,PLAYLIST,47074,7710.9,208896,0.1491,8336,562,
,UC97884307336,0J486_LoIqP,How It Works,south africa,UNKNOWN,SUGGESTED,23319,31692.4,55171,0.1845,2900,1029,107.5253
"January 31, 2024",UC91878597949,rCdx5j-8EzM,Product Demo,rsa,MOBILE,PLAYLIST,31538,77212.3,,0.1893,3102,882,90.2675
06-04-2024,UC32958661498,zNNDcGe2HZ9,How It Works,rsa,MOBILE,SUGGESTED,62193,53961.5,183606,,2456,1823,213.0737
20241225,UC76231026061,T1226B-f6g3,,za,TV,BROWSE,29423,35459.8,49529,0.1006,3441,686,
13-01-2024,UC62440127416,OFRffwdo12U,How It Works,,UNKNOWN,EXTERNAL,15034,10235.5,103279,0.1602,560,49,27.8091
16/01/2024,UC56527130263,N3kq1llhHvM,Brand Story 2024,,MOBILE,EXTERNAL,77681,93612.0,65943,0.1815,14428,265,58.5599
2024-06-30,UC67746885106,Tsjh_-wgjQy,Brand Story 2024,za,DESKTOP,YT_SEARCH,60405,172801.8,64710,0.1307,5830,78,241.508
,UC68729796364,HV1CBOA7jTd,,RSA,MOBILE,,33348,86854.9,251825,0.083,5578,848,122.0357
"August 03, 2024",UC21823401686,XNMMsqYPWx5,Brand Story 2024, South Africa,TABLET,SUGGESTED,65275,67902.6,121453,0.0304,3947,,24.1563
11/09/2024,UC73758449186,lxQx_iqjpTE,How It Works,,TV,EXTERNAL,38483,112900.0,245917,0.0787,513,423,107.5133
07/07/2024,UC70186086158,JysIYwVASr4,,RSA,MOBILE,SUGGESTED,63593,12162.3,311596,0.155,4016,2523,
20240607,UC68720884432,N5hlNK5_jXK,,,,,16624,31020.6,141951,0.1838,1844,141,-0.0284
"July 23, 2024",UC17319834815,3jKaUmR4xeR,Product Demo,,DESKTOP,,40848,97564.8,203971,0.1029,4268,,153.6062
2024-03-03,UC47599125108,JJ8tuaLAwzH,,ZA,TV,SUGGESTED,92910,36861.3,83377,0.2059,5555,985,262.5875
05-10-2024,UC17872618488,EKC-ohUwbUK,,,TV,YT_SEARCH,38328,28554.3,357398,0.1131,1339,1324,
2024-09-01,UC97740393238,AND4FYrUqro,, South Africa,DESKTOP,,97294,247155.4,,,,4359,
,UC84518807782,,Product Demo,South Africa,DESKTOP,SUGGESTED,24906,24101.2,102343,0.2325,4528,578,112.7733
01-05-2024,UC78090728690,gnoHHqbhDvF,Brand Story 2024,South Africa,TV,YT_SEARCH,43155,51121.2,369055,0.0077,119,1473,154.1118
20240728,UC25917007502,elHspFofpEp,Customer Testimonial,South Africa,TV,BROWSE,14893,41996.7,,0.1322,823,420,23.84
,UC16299811271,A8ByFynb9vH,Brand Story 2024,,TABLET,BROWSE,44436,108050.0,324026,0.1954,1220,,1.4873
03-12-2024,UC30485064036,msbXtAKVFFH,,RSA,,EXTERNAL,55259,129036.5,44613,0.1327,6580,2536,233.5618
20241126,UC19473322328,H0ptiWTZXA7,,ZA,,BROWSE,89067,224699.2,678096,0.207,5412,4222,398.6946
17/10/2024,UC75495960228,s2IvxxChSei,Product Demo,RSA,MOBILE,YT_SEARCH,15633,12106.6,29680,0.0075,62,199,43.6696
,UC36695675739,-jQm5lpUiFh,,South Africa,MOBILE,,44423,42119.4,,0.195,6571,621,87.5339
"October 19, 2024",UC51605369773,nIncB0t4YVh,Brand Story 2024,,TABLET,PLAYLIST,68529,27010.9,624601,0.2378,4004,2002,314.0712
20240913,UC27226570281,aHAKD9zAFV1,Product Demo,ZA,MOBILE,SUGGESTED,993,2312.7,9326,0.1786,,8,3.6576
05/05/2024,UC99841577719,OICIw5uiEcW,,rsa,,SUGGESTED,5957,6954.4,1842,0.214,232,,12.9631
2024-10-29,UC72939952738,-djFG0OCv_I,,ZA,TV,PLAYLIST,1178,1687.5,7984,0.0924,159,50,5.3551
2024-05-10,UC28263842070,pAkA-EH6riG,,south africa,TV,YT_SEARCH,21030,6641.5,177019,0.089,3546,307,18.9475
08/12/2024,UC88312451197,YjiEKye9z0x,,rsa,MOBILE,EXTERNAL,2841,1197.0,28234,0.1681,551,128,
08/06/2024,UC79279172215,0mbxMMJHyc-,Customer Testimonial,rsa,DESKTOP,YT_SEARCH,34002,56363.9,147043,0.2159,,,82.5981
27-02-2024,UC70122743239,E8qr0auROXv,Product Demo,RSA,,PLAYLIST,89447,200477.2,221041,0.0962,13439,4250,
"April 09, 2024",UC23423556832,076zkzjT-qz,Brand Story 2024, South Africa,TV,EXTERNAL,14435,38946.7,99662,0.0093,1982,329,48.9142
,UC65720653836,yYcIaFWXAX-,How It Works,South Africa,MOBILE,PLAYLIST,28161,45205.3,151363,,939,1387,43.9015
"October 15, 2024",UC88221921174,Qtr_4sA6M0Z,How It Works,za,UNKNOWN,EXTERNAL,79889,155902.7,568799,0.0939,4853,758,39.1784
20240724,UC90145322504,_soZuIUlKNJ,How It Works,ZA,,BROWSE,59163,,425306,0.1265,9705,2065,242.0033
08-12-2024,UC12527428297,lJu5u7YCL3W,How It Works,rsa,TV,BROWSE,4742,12410.7,30959,0.0932,389,180,22.9095
08/05/2024,UC28114482631,VnWm7jKhpFv,Product Demo, South Africa,DESKTOP,EXTERNAL,81411,,,0.1757,4131,2827,291.6549
"April 19, 2024",UC50877048935,s0D7P1Zv9nf,Customer Testimonial, South Africa,DESKTOP,,67414,120041.6,356407,0.0987,5188,81,
20240917,UC50331488335,yaCFnDwB9MX,Brand Story 2024,,UNKNOWN,,39819,83430.8,362647,0.1521,6367,990,191.3866
"April 21, 2024",UC38206194937,UV1kms2E8ch,,ZA,TV,PLAYLIST,29966,16848.0,180165,,,395,
16-10-2024,UC34313426000,YC2b9MDp9tE,,za,UNKNOWN,,39860,21298.0,188393,0.1954,7075,1404,67.2941
29/09/2024,UC85684194770,zgihjfD4ojb,Brand Story 2024,,DESKTOP,PLAYLIST,74327,94430.8,604394,0.102,5308,3047,352.3318
19-10-2024,UC89057201042,Toc9JqJs7O2,,rsa,DESKTOP,PLAYLIST,7876,8981.7,,0.026,,56,25.4954
"March 19, 2024",UC30239084719,,Product Demo,,DESKTOP,,54097,20229.7,376988,0.0462,4923,,256.9991
03/02/2024,UC31035720363,eBXZ6mYEr3W,,,DESKTOP,EXTERNAL,1020,2773.4,1671,0.0202,145,29,-0.1069
22-09-2024,UC32326302950,0PVvkBu-W3t,,ZA,MOBILE,,67369,35045.3,31157,0.1261,2743,144,27.1788
2024-09-28,UC53225123687,W0nBp0S2QON,Brand Story 2024,RSA,DESKTOP,BROWSE,770,432.1,5723,0.0223,138,29,2.4894
"June 20, 2024",UC72742128143,PBrFFb0rSFT,,South Africa,DESKTOP,BROWSE,46461,5202.1,152430,0.0887,2529,963,178.7323
17/07/2024,UC69091778929,ak7tUhH8cXy,,za,DESKTOP,SUGGESTED,6293,17879.0,8377,0.2308,307,40,12.8873
21-04-2024,UC30905142873,9wW5mpdyXnr,,,MOBILE,BROWSE,52227,152040.3,294333,,8446,,176.2009
20241019,UC79980766286,Nx4QZsYytpV,Product Demo,South Africa,,BROWSE,84979,60446.0,,0.1772,14803,2920,298.1252
20240917,UC21194343278,2B_FKuQYOao,,rsa,DESKTOP,BROWSE,57585,95233.7,247828,0.1581,3347,2655,
14-01-2024,UC16174590471,q15FYNPJqio,Brand Story 2024,South Africa,,,11937,30336.7,103031,0.0986,1660,527,55.8817
"January 30, 2024",UC90875255608,SLC0h0LVTcy,Customer Testimonial,RSA,UNKNOWN,SUGGESTED,74582,4985.7,464460,0.0368,1441,2244,291.3061
16-03-2024,UC30390190635,LG4l63C9tsH,,RSA,,YT_SEARCH,33366,58210.8,6207,0.1882,4642,222,103.3764
,UC91437727065,zOKiKPG5Hzo,Product Demo,,MOBILE,EXTERNAL,43761,100918.8,164221,0.1213,5507,359,
09/10/2024,UC44964761544,46DC9STK3JF,,za,,EXTERNAL,81498,68578.2,686493,0.1848,596,239,224.9291
,UC19861943409,TJ0MWOngHD6,,,MOBILE,SUGGESTED,51758,72239.7,414262,,5822,220,58.81
2024-03-14,UC69152996598,raXdZFRfqiF,Brand Story 2024,,,YT_SEARCH,28148,41521.7,242498,-0.007,875,355,138.9939
"September 29, 2024",UC76938452275,43qBxkW7I0z,,RSA,UNKNOWN,YT_SEARCH,45393,131911.8,86417,0.1661,7775,960,61.4222
2024-06-22,UC63614209231,uIYQIwiB1Q_,How It Works,rsa,DESKTOP,PLAYLIST,1464,2942.2,1083,0.0247,188,46,3.5448
"April 14, 2024",UC98318023625,,Product Demo,,DESKTOP,,13492,5333.1,80072,0.1113,432,323,
11/12/2024,UC25784997779,CB3l14XRSHY,How It Works,,UNKNOWN,EXTERNAL,6743,8805.2,35647,0.2228,721,,12.6554
22-05-2024,UC83103652360,LejyGquevjt,Product Demo,,TV,EXTERNAL,74851,197801.7,345181,0.13,4001,1769,240.4923
,UC20868120671,pFiqeAvPodF,, South Africa,MOBILE,PLAYLIST,92260,7299.1,760514,,962,,263.6889
20241101,UC46410909931,zW9KxZqxCXG,Customer Testimonial,RSA,UNKNOWN,EXTERNAL,73363,154543.3,247954,0.1994,,3158,
"June 23, 2024",UC47748375875,tT8uFFNo4iq,Brand Story 2024,,TABLET,,18494,15868.4,157612,,2382,200,
03-07-2024,UC35697486361,_t4V4cHZidn,Brand Story 2024,rsa,TABLET,PLAYLIST,35510,94409.2,223685,0.0782,2736,616,89.5352
27-01-2024,UC71103549121,osy7gAGE6f6,Brand Story 2024,,MOBILE,YT_SEARCH,26171,43000.3,64738,,2544,1142,56.1643
15/04/2024,UC54354797563,2YIRC89BHFk,,,MOBILE,PLAYLIST,22222,32345.8,119400,0.1936,623,708,
27-08-2024,UC63908028804,t_HKBb6xiRY,,,DESKTOP,BROWSE,46773,104505.6,324241,0.1465,1165,1750,61.8084
20241107,UC88924257895,B9aHzcH2Yds,How It Works,South Africa,TABLET,SUGGESTED,14411,11418.7,99719,0.2068,1996,389,45.342
,UC49431220655,TeOE94VMnab,How It Works,south africa,MOBILE,BROWSE,42787,105683.8,390297,0.0444,6190,1779,
"December 06, 2024",UC21604248813,nG3AifBG4cq,Customer Testimonial,rsa,DESKTOP,YT_SEARCH,54160,107292.5,512305,,3573,1108,
"August 25, 2024",UC28862343520,eRHrrexMIDH,,rsa,TV,YT_SEARCH,6132,8863.0,37372,0.1205,636,83,3.3091
"December 03, 2024",UC80319059547,RPY5KlERzj2,Customer Testimonial, South Africa,UNKNOWN,YT_SEARCH,50599,,26571,0.2092,5945,243,204.4956
20240804,UC90185870995,CJWjcEyH6m-,,South Africa,,YT_SEARCH,98255,133820.3,772431,0.1434,9526,,89.6477
17-03-2024,UC65523633164,M3LpP2yN516,,,TV,PLAYLIST,43703,110808.8,323379,,4864,1665,135.1813
27/09/2024,UC52991977260,D-c2tFGbKXP,How It Works,south africa,UNKNOWN,BROWSE,10061,6390.3,2160,0.2186,1557,39,10.9283
31/05/2024,UC55438791766,,Product Demo,south africa,DESKTOP,PLAYLIST,30998,81086.5,99523,0.0227,2860,614,
13-01-2024,UC62440127416,OFRffwdo12U,How It Works,,UNKNOWN,EXTERNAL,15034,10235.5,103279,0.1602,560,49,27.8091
28-08-2024,UC37769475901,0nRpVdCqQT7,,south africa,DESKTOP,YT_SEARCH,71864,,423838,0.191,10626,,310.5311
,UC75395747470,Hippf-mAHHZ,,rsa,MOBILE,,33853,,303835,0.0265,655,276,
