event_date,event_timestamp,event_name,user_pseudo_id,session_id,geo_country,geo_city,device_category,traffic_source_medium,traffic_source_source,traffic_source_name,page_location,event_value_in_usd,ga_session_number,is_active_user,platform
"February 21, 2024",1728506498810460,video_start,user_00408,8886693,,Johannesburg,Desktop,Organic Search,,UNKNOWN,/thankyou,,34,False,web
"October 16, 2024",1713729106670716,session_start,user_00061,1902183,RSA,Pretoria,Tablet,(none),GOOGLE,,,,24,False,web
20/09/2024,1773636814865295,add_to_cart,user_00262,1914592, South Africa,Durban,DESKTOP,Display,facebook,UNKNOWN,/checkout,627.15,12,false,web
"March 04, 2024",1797840237596809,page_view,user_00390,8729341,ZA,Cape Town,,Paid Search,,Retargeting_Lapsed,,160.21,12,0,
16-04-2024,,login,user_00695,8388133,za,,Tablet,social,,,/thankyou,,43,false,
15/10/2024,1722755704867052,page_view,user_00199,1804706,,,MOBILE,Display,,retargeting lapsed,/thankyou,,17,1,ANDROID
20240131,1750123673719380,video_start,user_00373,5369308,rsa,,mobile,Paid Search,google,Retargeting_Lapsed,,,15,,
20240717,1700094694901589,login,user_00043,2835208,,Pretoria,DESKTOP,email,facebook,Black Friday 2024,/products,227.56,20,,Web
"April 03, 2024",1700593981514119,click,user_00220,4788033, South Africa,,Desktop,,GOOGLE,,,913.53,23,1,Web
10/04/2024,1787821346635968,search,user_00304,3401575,,,DESKTOP,direct,GOOGLE,black friday,/products,,17,False,
07/03/2024,1766151241078984,purchase,user_00047,3993557,rsa,Johannesburg,mobile,email,,black friday,/products,563.83,33,True,Web
20240330,1717869478623813,click,user_00460,9874468,ZA,Cape Town,DESKTOP,,,Brand_SA_Q1,,,8,true,WEB
"April 07, 2024",1773350046075369,login,user_00671,9669007,,,mobile,Display,bing,retargeting lapsed,/,390.82,44,,Web
"October 31, 2024",1753542167371487,video_start,user_00308,8067230,ZA,Johannesburg,,Direct,,Awareness_Display_ZA,/checkout,38.79,23,TRUE,ANDROID
28-10-2024,1743576481526976,scroll,user_00314,5835935,south africa,,desktop,,,Brand_SA_Q1,/,479.85,36,1,WEB
2024-12-28,1749413111908626,,user_00763,535909,ZA,Pretoria,tablet,organic search,facebook,Brand_SA_Q1,/checkout,764.98,6,TRUE,web
"January 25, 2024",1732672156799549,login,user_00546,2510870,south africa,Durban,Desktop,(none),bing,,/,,13,false,ANDROID
"October 19, 2024",1773793615053674,login,user_00165,1654715, South Africa,,,Paid Search,,Brand_SA_Q1,,282.66,-1,TRUE,IOS
30-01-2024,1767193892595123,search,user_00664,8858367,,,Tablet,email,Google,Brand_SA_Q1,/thankyou,,5,1,web
2024-11-29,,search,user_00115,3200221, South Africa,,,social,,,,,48,,Web
,1781102591606582,video_start,user_00182,2171072, South Africa,Pretoria,desktop,Direct,bing,,/,,23,false,WEB
,1784776250448247,begin_checkout,user_00648,3437474, South Africa,Durban,tablet,,Google,,/thankyou,,25,,Web
15-08-2024,1783916799742664,scroll,user_00736,5779426,rsa,Durban,desktop,social,google,UNKNOWN,,153.07,33,FALSE,WEB
20240819,1712780700633896,search,user_00025,4087569,RSA,Pretoria,Mobile,Social,(direct),Black Friday 2024,/products,,17,true,Web
10-03-2024,1781462894268844,,user_00597,1514824,,Durban,,social,,Awareness_Display_ZA,/checkout,,38,True,Web
"June 20, 2024",1717553562678029,begin_checkout,user_00612,9369616,za,Johannesburg,Mobile,Direct,bing,,/products,761.57,38,True,ANDROID
"March 25, 2024",1721172061414897,click,user_00277,8005009,South Africa,,DESKTOP,ORGANIC_SEARCH,,,,892.87,34,FALSE,ANDROID
13-10-2024,1781868024762682,page_view,user_00424,2103842,ZA,,mobile,,Google,Black Friday 2024,/thankyou,,47,true,web
16/02/2024,1728763103119059,session_start,user_00129,2754128,za,,Mobile,display,,Awareness_Display_ZA,/products,,49,FALSE,WEB
"April 05, 2024",1769008871857131,video_start,user_00591,4060279,RSA,,Tablet,(none),,retargeting lapsed,/,404.42,36,TRUE,ANDROID
17-06-2024,6168,click,user_00260,6502134, South Africa,,Desktop,Paid Search,GOOGLE,,,,13,true,WEB
2024-10-02,1768108935515484,page_view,user_00322,9082800,,,,social,,Brand_SA_Q1,/thankyou,,0,True,web
,,search,user_00314,6660560,south africa,Johannesburg,,direct,(direct),Brand_SA_Q1,/checkout,778.57,28,true,ANDROID
"September 02, 2024",1761488136161436,search,user_00497,9778835,south africa,Pretoria,DESKTOP,social,,,/products,,4,TRUE,
"March 28, 2024",1742850170028069,click,,3709528,,Durban,Tablet,,,,/checkout,,16,,
20240217,1713917150920022,purchase,user_00158,9684085,,,,Paid Search,google,,/,368.39,15,True,ANDROID
2024-05-15,1770617176267543,session_start,user_00240,1651031,,Johannesburg,MOBILE,social,GOOGLE,,/,995.85,36,true,IOS
26/03/2024,1748951799381332,begin_checkout,user_00699,9222588,RSA,,,direct,facebook,Awareness_Display_ZA,,819.64,35,true,ANDROID
20240424,1778708238489404,begin_checkout,user_00001,4932456,south africa,,Tablet,social,google,,/products,38.5,39,false,IOS
20240902,,login,user_00422,9672171,RSA,Cape Town,Desktop,Paid Search,bing,UNKNOWN,/thankyou,264.61,35,,
10/03/2024,1788892206862823,video_start,user_00157,594723,za,,MOBILE,direct,google,,/checkout,,-1,False,ANDROID
01/05/2024,3879,page_view,user_00506,5699490,,Cape Town,,paid search,Google,UNKNOWN,,522.28,13,TRUE,IOS
09-07-2024,1519,video_start,user_00447,9483717,,Durban,Tablet,direct,google,brand_sa_q1,,,27,False,Web
21/04/2024,1709747823011404,scroll,user_00145,,RSA,,Mobile,social,GOOGLE,Retargeting_Lapsed,/,359.73,30,TRUE,IOS
2024-12-27,1737394165867424,scroll,user_00552,5469021,rsa,,desktop,,(direct),,/thankyou,781.4,17,True,WEB
2024-02-10,1754051366393229,,user_00340,6176290,South Africa,Cape Town,desktop,ORGANIC_SEARCH,,Black Friday 2024,/thankyou,721.01,11,True,
,1789554383386504,video_start,user_00573,1656466,,,Mobile,Paid Search,GOOGLE,Black Friday 2024,/,,14,,IOS
2024-01-25,1787547228399723,begin_checkout,,9713643,RSA,Cape Town,,,facebook,brand_sa_q1,/checkout,544.9,47,False,Web
05-01-2024,,video_start,user_00040,3384187,rsa,,Mobile,display,google,UNKNOWN,,17.9,49,FALSE,IOS
2024-10-25,1760423984552327,scroll,user_00203,6160989,rsa,Durban,Tablet,paid search,Google,black friday,/,,8,true,web
2024-01-14,1753314351899389,page_view,user_00606,1316089,za,,tablet,Paid Search,google,,/thankyou,910.16,50,False,Web
15/12/2024,1725026306995051,login,user_00787,3521285,South Africa,Pretoria,Mobile,Direct,,,/thankyou,,39,FALSE,Web
27/07/2024,1713270971588115,session_start,user_00089,734067,,Johannesburg,desktop,social,GOOGLE,Black Friday 2024,/products,838.7,6,,Web
20240912,1747319913573096,page_view,user_00279,913758,za,,,organic search,,brand_sa_q1,/checkout,,12,FALSE,Web
2024-09-01,1747609468002883,search,user_00148,7005645,rsa,Johannesburg,tablet,,,Brand_SA_Q1,,,43,False,
01-03-2024,1700314447723880,login,user_00553,8649142,South Africa,,desktop,,bing,Awareness_Display_ZA,/products,,11,,ANDROID
"October 28, 2024",1728037216260616,session_start,user_00243,9663775,ZA,Pretoria,DESKTOP,,(direct),BRAND SA Q1,/products,736.52,41,TRUE,web
2024-08-30,1788991991620915,click,user_00573,8569099,south africa,,Desktop,direct,(direct),Retargeting_Lapsed,/products,,41,False,IOS
2024-02-11,,add_to_cart,user_00539,5668143, South Africa,,DESKTOP,organic search,GOOGLE,Awareness_Display_ZA,/,,34,0,
26/01/2024,1713614807201693,login,user_00586,2242472,,Pretoria,Desktop,Paid Search,Google,retargeting lapsed,/,412.34,35,false,ANDROID
2024-05-22,1787698506051870,begin_checkout,user_00562,2506871,ZA,,,,(direct),Awareness_Display_ZA,/,343.73,46,,web
"February 11, 2024",1791389595450175,login,user_00675,3734709,South Africa,,,email,,black friday,,,25,,IOS
"December 09, 2024",1746861988875685,page_view,user_00602,1968240,,,mobile,Social,facebook,,/checkout,98.51,29,False,Web
2024-02-10,1743692809542449,session_start,user_00354,7784899,South Africa,Johannesburg,,organic search,facebook,black friday,,11.45,0,0,
20241101,1744119540010861,begin_checkout,user_00170,3697727,,Cape Town,Mobile,Organic Search,Google,BRAND SA Q1,/checkout,,22,True,ANDROID
07/03/2024,1791793738931440,search,user_00715,4131320,RSA,Durban,,(none),bing,Awareness_Display_ZA,/,820.76,38,true,web
"March 05, 2024",1788286326272533,search,user_00728,1564550,,,,ORGANIC_SEARCH,google,BRAND SA Q1,/checkout,193.64,45,FALSE,
2024-01-31,1754739776105983,video_start,user_00400,, South Africa,,Mobile,,(direct),black friday,/,,23,true,WEB
2024-10-07,9542,session_start,user_00322,3212626,South Africa,Cape Town,,,,,/products,535.81,38,true,web
20240925,1713680445075543,begin_checkout,,9303208,za,Pretoria,Desktop,display,,Retargeting_Lapsed,/thankyou,,26,TRUE,ANDROID
20240718,1781937967886664,video_start,user_00029,1865299,,Durban,Tablet,Display,,,,981.63,45,True,ANDROID
2024-12-29,1710794173279161,search,user_00037,8896576,ZA,Cape Town,mobile,Organic Search,facebook,Brand_SA_Q1,/checkout,584.9,12,TRUE,ANDROID
2024-03-25,1780092171691998,login,user_00697,8226303,south africa,Pretoria,tablet,social,google,brand_sa_q1,/,819.75,40,TRUE,ANDROID
2024-03-27,1794226562960594,session_start,user_00388,1281926,south africa,Pretoria,Mobile,Display,GOOGLE,,/,786.07,29,True,
30-05-2024,1780219448644803,scroll,user_00539,5865689,,Pretoria,Desktop,Email,facebook,retargeting lapsed,/thankyou,,39,true,ANDROID
"December 27, 2024",1738002603976797,search,user_00800,1985035,rsa,Johannesburg,Tablet,ORGANIC_SEARCH,Google,black friday,,,11,False,web
08/02/2024,1751477576682035,,user_00480,7630044,RSA,,DESKTOP,,bing,Retargeting_Lapsed,/thankyou,139.64,18,True,IOS
20240103,1778315072783771,session_start,user_00699,5606990,ZA,,,,GOOGLE,BRAND SA Q1,/products,794.78,0,true,web
,1701642833873033,purchase,user_00596,8008965,South Africa,,Tablet,paid search,,Black Friday 2024,/products,695.72,2,False,WEB
20240912,1741014067850739,search,user_00350,4323018,,Durban,desktop,Social,Google,,/,647.09,38,1,
"May 16, 2024",1753970969098379,,user_00401,5170566,,,,ORGANIC_SEARCH,bing,Brand_SA_Q1,,,25,False,
2024-03-20,1724015625335171,add_to_cart,user_00571,42319, South Africa,,,,facebook,,/thankyou,,33,False,WEB
,1785010828040911,,user_00551,5117047,ZA,,Mobile,Direct,GOOGLE,BRAND SA Q1,/thankyou,,44,False,web
20241111,1713536093815847,login,user_00545,9903771,ZA,,MOBILE,email,GOOGLE,Brand_SA_Q1,/thankyou,722.83,25,False,IOS
30/07/2024,1771892208846674,search,user_00145,,south africa,Pretoria,Tablet,,,brand_sa_q1,/,6.57,34,TRUE,IOS
"August 01, 2024",1754338269201815,login,user_00678,757130,za,Durban,DESKTOP,display,,,/products,750.61,38,0,Web
17/03/2024,1777872458404732,purchase,user_00318,6203918, South Africa,,,Email,bing,UNKNOWN,/,,39,false,ANDROID
20241117,1775367123548636,session_start,,6062573, South Africa,,Tablet,(none),(direct),,/checkout,249.78,33,False,WEB
15-09-2024,1750498702413240,purchase,user_00623,6773762,,,,Paid Search,,,/products,606.42,33,false,IOS
2024-02-02,8579,video_start,user_00301,7317596,za,,,(none),GOOGLE,,/checkout,,19,,ANDROID
20240806,1703493576121800,page_view,user_00357,6510715,,Durban,desktop,social,facebook,UNKNOWN,/thankyou,,3,,
"February 23, 2024",,click,user_00466,1781114, South Africa,,Tablet,ORGANIC_SEARCH,GOOGLE,BRAND SA Q1,,531.97,42,true,WEB
2024-01-23,1776480928511646,click,user_00767,8502571,rsa,,,Direct,,,/products,,25,,Web
2024-02-29,1790559696985902,begin_checkout,user_00397,,ZA,Cape Town,MOBILE,,GOOGLE,,,,30,0,IOS
2024-10-17,1792821313089176,page_view,user_00244,9505656,ZA,,,display,,,/products,,32,FALSE,WEB
"April 23, 2024",1711098956984018,session_start,user_00421,8102125,rsa,,Desktop,Social,google,Black Friday 2024,/products,488.7,34,1,ANDROID
,1705846515875396,purchase,user_00309,7899762,south africa,,,Social,facebook,brand_sa_q1,/,,16,True,WEB
20240621,1724469565301244,video_start,user_00465,1978597,rsa,Cape Town,tablet,Paid Search,,Retargeting_Lapsed,/,409.71,12,,IOS
20240603,1757687076470486,video_start,user_00631,8729110,south africa,Cape Town,,display,,,,683.06,47,True,WEB
03/05/2024,1752211055202321,click,user_00611,7965065,ZA,,,paid search,(direct),Black Friday 2024,,,26,False,web
11-07-2024,1769076616338372,video_start,user_00022,1052833,rsa,,Mobile,,facebook,Awareness_Display_ZA,/checkout,829.95,50,True,IOS
08/06/2024,1713131632718078,begin_checkout,user_00512,492477,ZA,,Desktop,ORGANIC_SEARCH,GOOGLE,Retargeting_Lapsed,/thankyou,176.64,43,True,
12/06/2024,1742115773285012,search,user_00628,9444302,South Africa,,tablet,Organic Search,facebook,UNKNOWN,/,619.12,8,,
20240930,1797362635701707,click,user_00455,1196089,South Africa,,MOBILE,Social,GOOGLE,UNKNOWN,/checkout,,49,true,IOS
"September 20, 2024",1786563648477068,login,user_00754,6223261,,,,Paid Search,google,brand_sa_q1,,661.91,3,false,web
"November 04, 2024",1776437288514776,session_start,user_00182,3624251,za,Pretoria,,,bing,Awareness_Display_ZA,/products,774.97,2,1,ANDROID
2024-11-04,1790557195453668,login,user_00049,6184380,RSA,Johannesburg,desktop,Organic Search,Google,,/,989.04,38,1,Web
2024-11-28,1767080909576336,,user_00396,7283200,south africa,,Mobile,,(direct),Black Friday 2024,,,37,True,IOS
05-03-2024,,click,user_00405,6417436,,Durban,Mobile,social,,BRAND SA Q1,/,,25,,
25-05-2024,1794757349678253,,user_00520,6281486,,,Desktop,(none),,,/,635.64,10,False,ANDROID
25/09/2024,1764713602202449,video_start,user_00756,3710786, South Africa,Durban,desktop,,GOOGLE,,/,,12,,IOS
"August 19, 2024",1731806199482757,,user_00058,2046518,,,DESKTOP,,facebook,Retargeting_Lapsed,/checkout,504.98,16,,ANDROID
2024-04-02,1724758906263176,,user_00524,1742183,South Africa,,desktop,display,,,/products,644.19,50,true,IOS
14-01-2024,1704727468952583,video_start,user_00693,7159349,,,Mobile,ORGANIC_SEARCH,facebook,Retargeting_Lapsed,/products,,29,TRUE,
"February 25, 2024",,click,user_00446,1101935,ZA,,Mobile,direct,facebook,Black Friday 2024,,,20,false,ANDROID
21/02/2024,1793854314107302,page_view,user_00494,2319925,za,Pretoria,mobile,Display,,,/thankyou,,46,true,WEB
26/06/2024,1739762516981176,scroll,user_00636,2175532,ZA,Pretoria,Desktop,social,,brand_sa_q1,,,18,true,ANDROID
14-12-2024,1767903309438423,click,user_00199,913643,,Cape Town,,,,retargeting lapsed,,,16,False,Web
"March 12, 2024",1797569012941047,login,user_00304,5121488,ZA,Pretoria,tablet,Social,,,/thankyou,,43,TRUE,web
02/10/2024,,purchase,user_00343,451457,rsa,Johannesburg,MOBILE,Email,bing,Awareness_Display_ZA,,798.06,,FALSE,
20241011,1749446932588528,scroll,user_00156,1030418,rsa,,,Paid Search,facebook,Awareness_Display_ZA,,336.36,42,FALSE,web
2024-02-09,1763464198114885,add_to_cart,user_00378,1228017,,,mobile,Organic Search,GOOGLE,black friday,/,437.29,16,TRUE,IOS
28-10-2024,1728629662437601,purchase,user_00038,,RSA,,,,GOOGLE,black friday,/products,,26,,Web
18-09-2024,1764996308741199,,user_00413,3181481,rsa,,tablet,,bing,,/checkout,169.89,39,false,Web
,1757404317496172,video_start,user_00554,9547786,south africa,Johannesburg,mobile,social,,,/checkout,886.17,19,,IOS
2024-04-10,1707632995424444,search,user_00761,5622670,South Africa,Johannesburg,DESKTOP,,,brand_sa_q1,/checkout,95.35,26,1,IOS
10-02-2024,1717669467570034,click,user_00234,7590585,rsa,,tablet,Direct,(direct),brand_sa_q1,,,46,0,
20240505,1780192389477300,login,user_00030,4081725,south africa,Durban,,direct,(direct),black friday,,201.5,25,True,Web
"August 26, 2024",1744559224732959,login,user_00259,1287065,za,,,Organic Search,(direct),brand_sa_q1,/checkout,904.26,22,false,Web
13-08-2024,1718279028587266,click,user_00594,3045202,za,,tablet,Direct,,,/thankyou,,20,TRUE,IOS
02-01-2024,,session_start,user_00289,5596425,ZA,Cape Town,Desktop,organic search,google,Black Friday 2024,/products,121.06,5,0,ANDROID
19-12-2024,1704779396118225,purchase,user_00628,7848120,,Pretoria,DESKTOP,,,BRAND SA Q1,/,584.95,9,true,WEB
2024-06-24,2314,page_view,user_00444,7811887,,,,social,,BRAND SA Q1,,,1,1,
"October 05, 2024",1718118692690767,purchase,user_00467,7515845,ZA,,DESKTOP,organic search,,Awareness_Display_ZA,/thankyou,641.45,19,True,
25/09/2024,1764713602202449,video_start,user_00756,3710786, South Africa,Durban,desktop,,GOOGLE,,/,,12,,IOS
2024-10-26,1799284951670021,session_start,user_00224,9913346,,Durban,Tablet,social,,retargeting lapsed,/products,569.81,-1,,
01-12-2024,1713522910626429,search,user_00744,9113290,za,Cape Town,tablet,Social,Google,,/thankyou,,15,,WEB
13-06-2024,1735385531195833,begin_checkout,user_00133,2023513,,,,paid search,facebook,black friday,/,762.34,30,true,ANDROID
01-02-2024,6789,page_view,user_00234,1299885,south africa,Johannesburg,,,,,,651.33,17,TRUE,Web
,7840,,user_00588,4140,rsa,Cape Town,MOBILE,,facebook,Brand_SA_Q1,,219.39,11,TRUE,Web
27-09-2024,1799028648048894,scroll,user_00183,9222054, South Africa,,mobile,,bing,Awareness_Display_ZA,,132.71,16,1,Web
2024-11-12,1717949183058965,page_view,user_00518,9606259,south africa,,MOBILE,organic search,,,/products,,4,0,web
2024-05-30,1753703751673467,session_start,user_00077,3858655,,,Desktop,display,,BRAND SA Q1,,4.0,15,True,web
"December 23, 2024",1707227441987346,page_view,user_00459,7704183,za,Cape Town,Tablet,organic search,Google,brand_sa_q1,/,,4,1,web
,1737587986520285,login,user_00061,5344580,ZA,,DESKTOP,direct,,Retargeting_Lapsed,,295.42,22,1,Web
28/03/2024,1757776293742610,,user_00713,4123060,,,,direct,GOOGLE,BRAND SA Q1,/checkout,498.88,22,false,web
01-07-2024,1706242743883439,begin_checkout,user_00629,2585797,,,Tablet,Paid Search,bing,Awareness_Display_ZA,,,49,,
"July 15, 2024",1727732928705439,video_start,user_00401,7296941,South Africa,Durban,MOBILE,organic search,GOOGLE,black friday,/checkout,,23,,IOS
10/07/2024,1373,login,user_00326,2272584,ZA,Pretoria,Mobile,organic search,bing,,/,127.87,47,,Web
20240821,1786002837253556,purchase,user_00451,2716217,south africa,,DESKTOP,direct,google,BRAND SA Q1,,247.69,33,True,ANDROID
22-06-2024,1701865914480566,purchase,user_00626,6465980,rsa,Johannesburg,mobile,,facebook,,/products,31.06,17,true,web
2024-01-07,1752911594305767,add_to_cart,user_00041,8512878,south africa,Pretoria,desktop,Direct,,Retargeting_Lapsed,/checkout,,18,,web
05/07/2024,1701874295501303,session_start,user_00037,2028530,South Africa,,desktop,organic search,facebook,brand_sa_q1,/,617.49,29,FALSE,Web
03-12-2024,,video_start,user_00683,8741907,South Africa,Pretoria,Tablet,Display,(direct),black friday,/checkout,394.26,7,FALSE,web
20-04-2024,1708084053301446,begin_checkout,user_00016,8421982,,Pretoria,tablet,paid search,google,brand_sa_q1,/products,943.62,25,false,WEB
2024-10-16,1797489483663476,,user_00238,4786579,RSA,Durban,Desktop,,facebook,BRAND SA Q1,/thankyou,,29,true,WEB
20241025,1724817599787614,page_view,user_00236,4787581,,,,,,Retargeting_Lapsed,/products,54.52,19,True,
18-05-2024,7332,click,user_00677,5292473,,Johannesburg,Tablet,,facebook,Black Friday 2024,/,235.97,31,true,ANDROID
06/09/2024,1759072893459896,click,user_00274,4060169,south africa,,tablet,social,google,,/products,,26,True,IOS
"April 08, 2024",,session_start,user_00353,6207921, South Africa,Johannesburg,Desktop,display,,,,,31,false,web
2024-10-16,1761901881038326,scroll,user_00247,3324990,South Africa,,tablet,Email,,UNKNOWN,/thankyou,,,,
26/02/2024,1779818926924688,login,user_00684,429075,,Durban,,direct,bing,,/thankyou,,47,1,Web
2024-10-11,6182,search,user_00311,6856262,za,Johannesburg,Desktop,,,Brand_SA_Q1,/,117.09,,false,
20240518,1791019030484616,begin_checkout,user_00759,4312913,rsa,Pretoria,,social,,Brand_SA_Q1,,,26,,ANDROID
09-04-2024,1748953287669763,add_to_cart,user_00137,5591165,ZA,Cape Town,Tablet,,Google,,/products,911.16,16,0,ANDROID
28-05-2024,1749416951246780,,user_00007,4461374,,Pretoria,Mobile,Social,Google,retargeting lapsed,/thankyou,449.67,22,FALSE,Web
20240825,1754265840414305,page_view,user_00413,6399793,ZA,Cape Town,Desktop,Display,google,BRAND SA Q1,,954.24,13,0,web
20240901,1791355561526342,click,user_00365,5837358,,,mobile,,google,Black Friday 2024,,625.83,6,False,Web
"June 29, 2024",1751915292089113,click,user_00543,7778408,,Durban,Mobile,Direct,(direct),Awareness_Display_ZA,/checkout,857.46,46,,Web
"June 16, 2024",1717871819441168,search,user_00565,,za,Pretoria,tablet,Display,google,Brand_SA_Q1,,,43,True,WEB
03-09-2024,1759609611244959,begin_checkout,user_00103,8534502, South Africa,Cape Town,Desktop,(none),,UNKNOWN,,,5,1,
30-07-2024,1721476500719427,video_start,user_00660,8755509, South Africa,Durban,MOBILE,,GOOGLE,BRAND SA Q1,,852.26,5,True,IOS
20240214,1791958515793449,,user_00742,134134,,,DESKTOP,Organic Search,,Black Friday 2024,,807.22,-1,FALSE,IOS
2024-07-09,1736324560590018,page_view,user_00653,4326894,South Africa,Pretoria,,Email,facebook,Brand_SA_Q1,,778.43,50,false,
20240207,1743524183577332,add_to_cart,user_00221,8335815,,,,Paid Search,(direct),,/thankyou,471.44,17,False,IOS
20241016,1763303817362162,click,user_00499,6758861,,,MOBILE,,,black friday,/checkout,567.47,25,,IOS
"April 17, 2024",1789054472969739,login,user_00243,3471923,rsa,,MOBILE,Email,facebook,,/,,40,TRUE,
25/10/2024,2370,login,user_00772,8388106, South Africa,Pretoria,,,,,/checkout,,26,0,web
20240806,1711413906842683,video_start,user_00734,9703669,RSA,Durban,Tablet,paid search,(direct),brand_sa_q1,/,557.61,35,FALSE,web
25-09-2024,1787741406242273,click,user_00245,8965375,RSA,Pretoria,tablet,organic search,,,/thankyou,487.8,18,TRUE,
,1774397181945504,login,user_00745,4748951,za,,Tablet,Social,(direct),Black Friday 2024,,974.88,15,TRUE,
24-09-2024,1770245087688611,add_to_cart,user_00156,9403422, South Africa,Cape Town,,Organic Search,,,/products,,22,False,web
2024-04-18,1712671817991863,login,user_00085,1840115, South Africa,,DESKTOP,direct,Google,brand_sa_q1,,,12,True,web
10-04-2024,,search,user_00687,671115,South Africa,Johannesburg,desktop,,bing,Black Friday 2024,,,15,,web
"February 29, 2024",,add_to_cart,user_00150,3023596,ZA,Pretoria,mobile,Display,GOOGLE,,/products,,11,True,
07/05/2024,1755218623149935,video_start,user_00490,7877746,,Johannesburg,MOBILE,paid search,,Black Friday 2024,/thankyou,,35,false,IOS
"September 18, 2024",1785160270404942,add_to_cart,user_00017,9938519,za,,desktop,direct,,Awareness_Display_ZA,/products,880.3,47,,Web
"November 12, 2024",1785946857602521,video_start,user_00682,7767298,south africa,,,email,(direct),Black Friday 2024,,240.29,28,1,Web
27/05/2024,1716347764269148,search,user_00510,4565780,,Johannesburg,Desktop,ORGANIC_SEARCH,facebook,brand_sa_q1,/products,766.86,28,1,WEB
20240610,1721057772634067,click,user_00334,,,Cape Town,mobile,,GOOGLE,BRAND SA Q1,/thankyou,692.24,15,TRUE,
20240916,1704247150599493,add_to_cart,user_00118,4177786,RSA,,Tablet,,,black friday,/products,225.87,47,True,web
,1771472839418449,scroll,user_00180,348608,ZA,Johannesburg,,direct,Google,,/products,108.7,50,,web
09/04/2024,1779440404920913,click,user_00382,2311171, South Africa,Pretoria,tablet,,Google,,,481.13,49,True,Web
"January 07, 2024",1765613681639297,click,user_00754,,,,,Social,,,/thankyou,,15,True,ANDROID
17-09-2024,2937,begin_checkout,user_00642,6469914,za,Pretoria,MOBILE,ORGANIC_SEARCH,,Retargeting_Lapsed,/thankyou,,10,True,web
26/01/2024,1334,purchase,user_00646,9446431,,,desktop,paid search,(direct),,/thankyou,899.44,23,1,IOS
20240914,1792982771257759,video_start,user_00281,7028211,ZA,,tablet,Display,Google,Awareness_Display_ZA,/products,32.79,37,TRUE,Web
24-12-2024,1734698157723398,login,user_00468,4360779,rsa,Cape Town,Mobile,ORGANIC_SEARCH,bing,Brand_SA_Q1,,,48,,ANDROID
20240425,1742637954390144,click,user_00706,6904243,za,Cape Town,tablet,direct,,black friday,/,,28,TRUE,WEB
,,begin_checkout,user_00231,5018630,South Africa,Pretoria,,display,(direct),,/thankyou,,6,True,ANDROID
"April 04, 2024",1741207338883121,begin_checkout,user_00478,1427421,za,Johannesburg,,ORGANIC_SEARCH,GOOGLE,UNKNOWN,/,146.93,42,TRUE,Web
,,page_view,user_00123,9129277,,Durban,MOBILE,,,Retargeting_Lapsed,/thankyou,,42,True,IOS
20241115,1702086654362479,add_to_cart,user_00274,5979326,,,DESKTOP,paid search,,Awareness_Display_ZA,/,,32,false,Web
,1729563796677318,session_start,user_00152,6817882,ZA,Johannesburg,Desktop,Organic Search,bing,Black Friday 2024,/products,871.29,13,0,web
"April 04, 2024",1714406862161703,begin_checkout,user_00330,5564374,,Johannesburg,Mobile,Organic Search,facebook,black friday,/checkout,,32,TRUE,web
