customer_id,first_seen_date,province,city,customer_segment,consent_status
CUST-000065,2024-04-12,Gauteng,Sandton,Lapsed Reactivated,denied
CUST-000066,2024-01-12,Gauteng,Soweto,New,granted
CUST-000067,2024-04-30,Gauteng,Soweto,New,granted
CUST-000068,2024-01-05,Kwazulu-Natal,Durban,Lapsed Reactivated,granted
CUST-000069,2024-04-01,Gauteng,Johannesburg,Returning,granted
CUST-000070,2024-03-27,Western Cape,George,New,granted
CUST-000071,2024-01-16,Gauteng,Pretoria,Vip,granted
CUST-000072,2024-01-20,Western Cape,George,New,denied
CUST-000073,2024-06-12,Gauteng,Sandton,New,denied
CUST-000074,2024-04-29,Gauteng,Soweto,New,denied
CUST-000075,2024-02-29,Western Cape,Paarl,New,granted
CUST-000076,2024-01-18,Gauteng,Pretoria,New,granted
CUST-000077,2024-03-21,Gauteng,Sandton,New,granted
CUST-000078,2024-05-11,Gauteng,Sandton,New,granted
CUST-000079,2024-04-04,Gauteng,Johannesburg,New,granted
CUST-000080,2024-01-18,Western Cape,Paarl,Returning,granted
CUST-000081,2024-01-24,Gauteng,Johannesburg,Returning,granted
CUST-000082,2024-02-08,Limpopo,Polokwane,Returning,granted
CUST-000083,2024-02-02,Free State,Bloemfontein,Returning,granted
CUST-000084,2024-01-01,Mpumalanga,Nelspruit,New,denied
CUST-000085,2024-03-04,Western Cape,Cape Town,New,granted
CUST-000086,2024-05-17,Kwazulu-Natal,Durban,New,denied
CUST-000087,2024-02-21,Free State,Bloemfontein,Returning,granted
CUST-000088,2024-01-22,Gauteng,Sandton,New,granted
CUST-000089,2024-01-02,Western Cape,Cape Town,New,granted
CUST-000090,2024-04-16,Gauteng,Johannesburg,New,granted
CUST-000091,2024-02-29,Gauteng,Sandton,New,granted
CUST-000092,2024-05-09,Gauteng,Sandton,Vip,granted
CUST-000093,2024-01-28,Gauteng,Soweto,New,granted
CUST-000094,2024-03-24,Gauteng,Pretoria,New,denied
CUST-000095,2024-03-29,North West,Rustenburg,New,granted
CUST-000096,2024-06-12,Limpopo,Polokwane,New,granted
CUST-000097,2024-01-16,North West,Rustenburg,New,granted
CUST-000098,2024-02-06,Western Cape,Stellenbosch,New,granted
CUST-000099,2024-06-28,Gauteng,Johannesburg,New,granted
CUST-000100,2024-05-17,Kwazulu-Natal,Umhlanga,New,granted
CUST-000101,2024-05-08,Western Cape,Stellenbosch,New,granted
CUST-000102,2024-05-31,Western Cape,Paarl,New,denied
CUST-000103,2024-01-08,Gauteng,Sandton,New,granted
CUST-000104,2024-02-13,Western Cape,Paarl,Vip,granted
CUST-000105,2024-03-27,Gauteng,Sandton,Returning,denied
CUST-000106,2024-05-13,Western Cape,Stellenbosch,New,granted
CUST-000107,2024-05-01,Kwazulu-Natal,Pietermaritzburg,New,denied
CUST-000108,2024-06-02,Gauteng,Soweto,New,granted
CUST-000109,2024-06-06,Western Cape,George,Returning,granted
CUST-000110,2024-03-12,Gauteng,Johannesburg,New,granted
CUST-000111,2024-01-17,Western Cape,George,New,granted
CUST-000112,2024-04-21,Gauteng,Soweto,New,granted
CUST-000113,2024-03-19,Western Cape,Stellenbosch,Returning,granted
CUST-000114,2024-04-05,Limpopo,Polokwane,New,granted
CUST-000115,2024-04-10,Gauteng,Pretoria,New,granted
CUST-000116,2024-01-18,Western Cape,George,New,granted
CUST-000117,2024-03-05,Gauteng,Johannesburg,New,granted
CUST-000118,2024-03-25,Free State,Bloemfontein,New,granted
CUST-000119,2024-03-16,Gauteng,Soweto,Lapsed Reactivated,unknown
CUST-000120,2024-02-05,Western Cape,Cape Town,Lapsed Reactivated,denied
CUST-000121,2024-01-17,Gauteng,Sandton,Returning,granted
CUST-000122,2024-02-26,Free State,Bloemfontein,New,granted
CUST-000123,2024-05-16,Kwazulu-Natal,Durban,New,granted
CUST-000124,2024-03-23,Western Cape,Stellenbosch,New,granted
CUST-000125,2024-01-21,Western Cape,Cape Town,New,granted
CUST-000126,2024-04-30,Gauteng,Johannesburg,New,granted
CUST-000127,2024-05-19,North West,Rustenburg,New,granted
CUST-000128,2024-05-29,Gauteng,Sandton,New,denied
CUST-000129,2024-02-27,Western Cape,Stellenbosch,New,granted
CUST-000130,2024-03-16,Gauteng,Sandton,Returning,denied
CUST-000131,2024-02-04,North West,Rustenburg,New,granted
CUST-000132,2024-06-11,Gauteng,Sandton,New,granted
CUST-000133,2024-02-09,Western Cape,George,New,granted
CUST-000134,2024-04-14,Gauteng,Soweto,Returning,granted
CUST-000135,2024-04-11,Kwazulu-Natal,Durban,Returning,denied
CUST-000136,2024-03-12,Gauteng,Pretoria,Returning,denied
CUST-000137,2024-05-31,Limpopo,Polokwane,New,granted
CUST-000138,2024-03-28,Western Cape,Cape Town,New,granted
CUST-000139,2024-04-04,Gauteng,Pretoria,New,granted
CUST-000140,2024-01-23,Western Cape,Stellenbosch,New,granted
CUST-000141,2024-01-21,Gauteng,Johannesburg,New,granted
CUST-000142,2024-02-09,Western Cape,Cape Town,Returning,granted
CUST-000143,2024-04-26,Limpopo,Polokwane,Returning,denied
CUST-000144,2024-04-28,Kwazulu-Natal,Umhlanga,New,granted
CUST-000145,2024-01-11,Western Cape,Cape Town,New,granted
CUST-000146,2024-04-09,Gauteng,Pretoria,New,granted
CUST-000147,2024-02-17,Western Cape,Cape Town,New,granted
CUST-000148,2024-01-27,Western Cape,Cape Town,New,granted
CUST-000149,2024-06-29,Western Cape,Stellenbosch,Returning,granted
CUST-000150,2024-02-05,Western Cape,Paarl,New,denied
CUST-000151,2024-06-23,Eastern Cape,Gqeberha,Returning,granted
CUST-000152,2024-02-14,Western Cape,Cape Town,Lapsed Reactivated,granted
CUST-000153,2024-02-22,Mpumalanga,Nelspruit,New,granted
CUST-000154,2024-02-19,Gauteng,Sandton,New,granted
CUST-000155,2024-01-21,Gauteng,Sandton,New,granted
CUST-000156,2024-02-12,Eastern Cape,Gqeberha,Lapsed Reactivated,granted
CUST-000157,2024-06-04,Western Cape,Paarl,Returning,denied
CUST-000158,2024-05-05,Limpopo,Polokwane,New,granted
CUST-000159,2024-01-14,Gauteng,Sandton,New,denied
CUST-000160,2024-04-12,Free State,Bloemfontein,Returning,granted
CUST-000161,2024-05-27,Gauteng,Johannesburg,New,granted
CUST-000162,2024-05-17,Gauteng,Pretoria,Returning,granted
CUST-000163,2024-03-24,Kwazulu-Natal,Durban,Returning,denied
CUST-000164,2024-04-24,Limpopo,Polokwane,Returning,granted
CUST-000165,2024-03-31,Eastern Cape,Gqeberha,Returning,granted
CUST-000166,2024-04-15,Western Cape,George,New,granted
CUST-000167,2024-05-06,Gauteng,Soweto,New,granted
CUST-000168,2024-05-12,Eastern Cape,Gqeberha,New,granted
CUST-000169,2024-05-13,Western Cape,Paarl,New,granted
CUST-000170,2024-01-22,Gauteng,Sandton,Vip,granted
CUST-000171,2024-06-04,Gauteng,Pretoria,Vip,granted
CUST-000172,2024-03-09,Western Cape,Paarl,New,granted
CUST-000173,2024-01-18,Western Cape,George,New,granted
CUST-000174,2024-04-17,Western Cape,Paarl,New,granted
CUST-000175,2024-03-07,Western Cape,George,Returning,denied
CUST-000176,2024-06-14,Western Cape,George,New,unknown
CUST-000177,2024-04-13,Gauteng,Pretoria,Lapsed Reactivated,granted
CUST-000178,2024-01-23,Gauteng,Pretoria,Returning,granted
CUST-000179,2024-03-18,Gauteng,Pretoria,New,unknown
CUST-000180,2024-05-13,Gauteng,Sandton,New,denied
CUST-000181,2024-05-29,Gauteng,Soweto,New,granted
CUST-000182,2024-02-12,Gauteng,Sandton,New,granted
CUST-000183,2024-06-02,Limpopo,Polokwane,New,granted
CUST-000184,2024-04-10,Western Cape,Cape Town,New,granted
CUST-000185,2024-04-23,Western Cape,Paarl,New,granted
CUST-000186,2024-04-21,Northern Cape,Kimberley,Returning,granted
CUST-000187,2024-06-30,Gauteng,Soweto,New,granted
CUST-000188,2024-05-05,Gauteng,Pretoria,New,denied
CUST-000189,2024-04-26,Gauteng,Sandton,New,granted
CUST-000190,2024-05-07,Western Cape,George,Returning,granted
CUST-000191,2024-05-07,Northern Cape,Kimberley,New,granted
CUST-000192,2024-06-28,Limpopo,Polokwane,Vip,granted
CUST-000193,2024-04-18,Gauteng,Pretoria,New,granted
CUST-000194,2024-03-23,Kwazulu-Natal,Durban,Returning,granted
CUST-000195,2024-06-25,Gauteng,Pretoria,Vip,granted
CUST-000196,2024-05-31,Limpopo,Polokwane,New,granted
CUST-000197,2024-03-23,Limpopo,Polokwane,New,granted
CUST-000198,2024-02-19,Western Cape,Cape Town,Returning,denied
CUST-000199,2024-02-29,Western Cape,Stellenbosch,New,unknown
CUST-000200,2024-01-27,Western Cape,Stellenbosch,New,granted
CUST-000201,2024-06-23,Kwazulu-Natal,Durban,Lapsed Reactivated,granted
CUST-000202,2024-05-20,Gauteng,Sandton,Returning,granted
CUST-000203,2024-04-11,Gauteng,Pretoria,New,granted
CUST-000204,2024-04-04,Gauteng,Johannesburg,Lapsed Reactivated,granted
CUST-000205,2024-03-23,Western Cape,Stellenbosch,New,denied
CUST-000206,2024-01-25,Free State,Bloemfontein,Returning,granted
CUST-000207,2024-04-09,Gauteng,Sandton,Returning,granted
CUST-000208,2024-02-23,Gauteng,Soweto,New,granted
CUST-000209,2024-02-26,Gauteng,Johannesburg,Returning,granted
CUST-000210,2024-01-23,Gauteng,Johannesburg,New,granted
CUST-000211,2024-02-03,Kwazulu-Natal,Pietermaritzburg,New,granted
CUST-000212,2024-01-30,Kwazulu-Natal,Umhlanga,Lapsed Reactivated,granted
CUST-000213,2024-05-27,North West,Rustenburg,New,granted
CUST-000214,2024-02-03,Kwazulu-Natal,Durban,New,granted
CUST-000215,2024-02-16,Gauteng,Pretoria,New,granted
CUST-000216,2024-04-02,Eastern Cape,East London,New,denied
CUST-000217,2024-03-05,Western Cape,Cape Town,New,granted
CUST-000218,2024-04-17,Western Cape,Paarl,New,granted
CUST-000219,2024-03-25,Gauteng,Sandton,Returning,granted
CUST-000220,2024-03-04,Kwazulu-Natal,Durban,New,granted
CUST-000221,2024-04-24,Western Cape,George,Returning,granted
CUST-000222,2024-01-13,Mpumalanga,Nelspruit,New,granted
CUST-000223,2024-03-05,Eastern Cape,Gqeberha,New,granted
CUST-000224,2024-04-28,Free State,Bloemfontein,New,granted
CUST-000225,2024-06-17,Gauteng,Johannesburg,Returning,granted
CUST-000226,2024-01-24,Eastern Cape,East London,New,granted
CUST-000227,2024-01-22,Western Cape,Paarl,Returning,granted
CUST-000228,2024-06-23,Western Cape,Cape Town,Returning,granted
CUST-000229,2024-05-15,Gauteng,Pretoria,Returning,granted
CUST-000230,2024-06-28,Western Cape,Stellenbosch,New,granted
CUST-000231,2024-04-30,Gauteng,Pretoria,New,granted
CUST-000232,2024-06-11,Western Cape,Paarl,Returning,granted
CUST-000233,2024-04-12,Kwazulu-Natal,Pietermaritzburg,New,granted
CUST-000234,2024-03-25,Western Cape,Paarl,New,granted
CUST-000235,2024-03-26,Gauteng,Pretoria,New,granted
CUST-000236,2024-05-14,Western Cape,Paarl,New,granted
CUST-000237,2024-01-21,Gauteng,Pretoria,New,granted
CUST-000238,2024-06-23,Western Cape,Stellenbosch,New,granted
CUST-000239,2024-01-16,Eastern Cape,Gqeberha,New,granted
CUST-000240,2024-06-18,Gauteng,Sandton,New,granted
CUST-000241,2024-04-17,Gauteng,Johannesburg,Returning,granted
CUST-000242,2024-06-17,Western Cape,Stellenbosch,New,unknown
CUST-000243,2024-04-24,Eastern Cape,East London,Returning,granted
CUST-000244,2024-02-23,Limpopo,Polokwane,Returning,denied
CUST-000245,2024-02-06,Gauteng,Johannesburg,Vip,granted
CUST-000246,2024-05-19,Free State,Bloemfontein,New,granted
CUST-000247,2024-03-27,Gauteng,Soweto,New,granted
CUST-000248,2024-06-20,Gauteng,Soweto,Lapsed Reactivated,denied
CUST-000249,2024-03-27,Western Cape,Cape Town,Returning,granted
CUST-000250,2024-03-04,Kwazulu-Natal,Pietermaritzburg,New,granted
CUST-000251,2024-04-19,Eastern Cape,East London,New,granted
CUST-000252,2024-02-22,Gauteng,Pretoria,Returning,denied
CUST-000253,2024-04-03,Gauteng,Soweto,New,denied
CUST-000254,2024-02-09,Gauteng,Pretoria,Returning,granted
CUST-000255,2024-03-11,Western Cape,Stellenbosch,New,granted
CUST-000256,2024-04-01,Gauteng,Pretoria,New,unknown
CUST-000257,2024-06-17,Free State,Bloemfontein,New,granted
CUST-000258,2024-01-19,Gauteng,Sandton,New,granted
CUST-000259,2024-04-10,Eastern Cape,Gqeberha,New,granted
CUST-000260,2024-03-28,Mpumalanga,Nelspruit,Returning,granted
CUST-000261,2024-06-01,Western Cape,Paarl,New,denied
CUST-000262,2024-01-10,Gauteng,Soweto,New,granted
CUST-000263,2024-01-21,Western Cape,Stellenbosch,New,unknown
CUST-000264,2024-04-21,Western Cape,George,Lapsed Reactivated,denied
CUST-000265,2024-05-14,Kwazulu-Natal,Umhlanga,Vip,denied
CUST-000266,2024-01-08,Gauteng,Soweto,Returning,denied
CUST-000267,2024-01-25,Western Cape,George,New,denied
CUST-000268,2024-01-16,Gauteng,Soweto,New,denied
CUST-000269,2024-04-04,Gauteng,Soweto,New,granted
CUST-000270,2024-01-08,Gauteng,Pretoria,New,granted
CUST-000271,2024-06-30,Gauteng,Johannesburg,New,granted
CUST-000272,2024-02-15,Gauteng,Johannesburg,Returning,granted
CUST-000273,2024-05-14,Limpopo,Polokwane,New,granted
CUST-000274,2024-03-29,Western Cape,Paarl,New,denied
CUST-000275,2024-06-04,Western Cape,Paarl,Lapsed Reactivated,granted
CUST-000276,2024-01-15,Gauteng,Johannesburg,Returning,granted
CUST-000277,2024-02-04,Gauteng,Pretoria,Returning,granted
CUST-000278,2024-03-23,Gauteng,Sandton,Vip,granted
CUST-000279,2024-05-03,Mpumalanga,Nelspruit,New,granted
CUST-000280,2024-04-24,Western Cape,Paarl,New,denied
CUST-000281,2024-01-07,Western Cape,George,Returning,granted
CUST-000282,2024-04-05,North West,Rustenburg,New,denied
CUST-000283,2024-05-22,Western Cape,Stellenbosch,Lapsed Reactivated,granted
CUST-000284,2024-01-29,Gauteng,Sandton,Returning,granted
CUST-000285,2024-02-08,Western Cape,Cape Town,Vip,granted
CUST-000286,2024-03-17,North West,Rustenburg,Returning,denied
CUST-000287,2024-06-29,Gauteng,Soweto,Returning,granted
CUST-000288,2024-02-17,Western Cape,Stellenbosch,Returning,denied
CUST-000289,2024-06-22,Kwazulu-Natal,Pietermaritzburg,Lapsed Reactivated,denied
CUST-000290,2024-02-20,Western Cape,Stellenbosch,Returning,granted
CUST-000291,2024-03-27,Gauteng,Pretoria,New,granted
CUST-000292,2024-02-11,Western Cape,George,New,granted
CUST-000293,2024-04-12,Western Cape,Stellenbosch,Returning,granted
CUST-000294,2024-02-08,Western Cape,Stellenbosch,New,granted
CUST-000295,2024-06-15,Eastern Cape,Gqeberha,Returning,denied
CUST-000296,2024-02-23,Western Cape,Stellenbosch,New,granted
CUST-000297,2024-02-23,Kwazulu-Natal,Durban,New,denied
CUST-000298,2024-04-22,Western Cape,George,Lapsed Reactivated,denied
CUST-000299,2024-05-14,Western Cape,Stellenbosch,Lapsed Reactivated,granted
CUST-000300,2024-01-25,Eastern Cape,Gqeberha,Returning,granted
CUST-000301,2024-03-13,Western Cape,George,New,denied
CUST-000302,2024-03-02,Western Cape,Cape Town,New,granted
CUST-000303,2024-06-25,Kwazulu-Natal,Umhlanga,New,granted
CUST-000304,2024-01-30,Western Cape,Stellenbosch,New,granted
CUST-000305,2024-06-11,Western Cape,George,New,denied
CUST-000306,2024-06-14,Kwazulu-Natal,Pietermaritzburg,Lapsed Reactivated,granted
CUST-000307,2024-05-22,Mpumalanga,Nelspruit,New,granted
CUST-000308,2024-03-21,Western Cape,Paarl,New,granted
CUST-000309,2024-02-04,North West,Rustenburg,New,granted
CUST-000310,2024-05-08,Gauteng,Sandton,Returning,granted
CUST-000311,2024-02-21,Kwazulu-Natal,Umhlanga,Returning,granted
CUST-000312,2024-01-15,Gauteng,Soweto,New,granted
CUST-000313,2024-05-25,Eastern Cape,East London,New,granted
CUST-000314,2024-04-23,Kwazulu-Natal,Durban,New,granted
CUST-000315,2024-05-03,North West,Rustenburg,New,granted
CUST-000316,2024-02-07,Western Cape,Cape Town,Returning,granted
CUST-000317,2024-05-08,Limpopo,Polokwane,New,granted
CUST-000318,2024-06-01,Limpopo,Polokwane,Returning,granted
CUST-000319,2024-04-03,Gauteng,Pretoria,Returning,granted
CUST-000320,2024-05-25,Free State,Bloemfontein,Lapsed Reactivated,granted
CUST-000321,2024-05-13,Gauteng,Soweto,New,granted
CUST-000322,2024-05-20,Western Cape,Cape Town,New,granted
CUST-000323,2024-02-12,Gauteng,Pretoria,New,granted
CUST-000324,2024-06-02,Gauteng,Johannesburg,New,granted
CUST-000325,2024-05-02,Kwazulu-Natal,Pietermaritzburg,New,unknown
CUST-000326,2024-06-23,Kwazulu-Natal,Umhlanga,Lapsed Reactivated,granted
CUST-000327,2024-05-24,Gauteng,Soweto,Returning,granted
CUST-000328,2024-04-18,Western Cape,George,New,granted
CUST-000329,2024-05-18,North West,Rustenburg,New,granted
CUST-000330,2024-05-21,Eastern Cape,East London,Returning,granted
CUST-000331,2024-04-18,North West,Rustenburg,Returning,granted
CUST-000332,2024-05-01,Kwazulu-Natal,Durban,Returning,granted
CUST-000333,2024-06-11,Western Cape,Stellenbosch,New,granted
CUST-000334,2024-01-14,Gauteng,Pretoria,New,granted
CUST-000335,2024-01-25,Free State,Bloemfontein,New,granted
CUST-000336,2024-02-22,Eastern Cape,East London,Returning,denied
CUST-000337,2024-04-23,Gauteng,Pretoria,Returning,granted
CUST-000338,2024-04-19,Mpumalanga,Nelspruit,Vip,granted
CUST-000339,2024-03-04,Gauteng,Soweto,New,denied
CUST-000340,2024-02-20,Western Cape,George,New,granted
CUST-000341,2024-05-29,Gauteng,Sandton,New,granted
CUST-000342,2024-03-06,Free State,Bloemfontein,New,denied
CUST-000343,2024-03-13,Gauteng,Soweto,Returning,granted
CUST-000344,2024-01-31,Eastern Cape,Gqeberha,Vip,granted
CUST-000345,2024-01-22,Gauteng,Pretoria,Returning,granted
CUST-000346,2024-06-08,Western Cape,George,Vip,granted
CUST-000347,2024-06-19,Western Cape,George,New,granted
CUST-000348,2024-06-09,Kwazulu-Natal,Umhlanga,Returning,unknown
CUST-000349,2024-06-28,Gauteng,Johannesburg,New,granted
CUST-000350,2024-02-25,Western Cape,George,Returning,granted
CUST-000351,2024-03-07,Western Cape,Cape Town,Returning,granted
CUST-000352,2024-06-30,Gauteng,Soweto,Returning,granted
CUST-000353,2024-01-10,Gauteng,Soweto,Returning,granted
CUST-000354,2024-04-15,Kwazulu-Natal,Pietermaritzburg,New,denied
CUST-000355,2024-05-14,Gauteng,Soweto,Returning,granted
CUST-000356,2024-06-08,Gauteng,Johannesburg,New,unknown
CUST-000357,2024-02-14,Western Cape,Paarl,Returning,granted
CUST-000358,2024-06-24,Western Cape,Paarl,New,granted
CUST-000359,2024-04-22,Gauteng,Soweto,Returning,granted
CUST-000360,2024-02-12,Gauteng,Pretoria,New,granted
CUST-000361,2024-06-26,Western Cape,Cape Town,New,granted
CUST-000362,2024-04-07,Eastern Cape,East London,Vip,denied
CUST-000363,2024-04-19,Western Cape,George,Returning,denied
CUST-000364,2024-03-13,Western Cape,Stellenbosch,New,denied
CUST-000365,2024-05-19,Western Cape,Paarl,New,granted
CUST-000366,2024-06-24,Gauteng,Pretoria,New,granted
CUST-000367,2024-06-05,Western Cape,Paarl,Lapsed Reactivated,granted
CUST-000368,2024-02-12,Western Cape,Cape Town,New,granted
CUST-000369,2024-03-26,Northern Cape,Kimberley,New,granted
CUST-000370,2024-04-09,Mpumalanga,Nelspruit,New,granted
CUST-000371,2024-03-27,North West,Rustenburg,New,granted
CUST-000372,2024-03-18,Western Cape,Paarl,New,granted
CUST-000373,2024-04-03,Western Cape,Paarl,New,granted
CUST-000374,2024-03-08,Kwazulu-Natal,Durban,New,granted
CUST-000375,2024-02-12,Western Cape,Paarl,New,granted
CUST-000376,2024-04-14,Western Cape,Cape Town,New,granted
CUST-000377,2024-06-24,Gauteng,Soweto,New,granted
CUST-000378,2024-04-02,Limpopo,Polokwane,New,denied
CUST-000379,2024-02-18,Gauteng,Sandton,Returning,granted
CUST-000380,2024-02-02,Western Cape,Paarl,New,granted
CUST-000381,2024-05-08,Gauteng,Soweto,New,granted
CUST-000382,2024-04-05,Western Cape,Paarl,New,granted
CUST-000383,2024-04-16,Western Cape,Stellenbosch,Returning,granted
CUST-000384,2024-02-04,Western Cape,Paarl,New,granted
CUST-000385,2024-03-22,Western Cape,George,New,granted
CUST-000386,2024-04-09,Gauteng,Pretoria,New,denied
CUST-000387,2024-04-15,Gauteng,Soweto,New,denied
CUST-000388,2024-03-14,Eastern Cape,East London,Lapsed Reactivated,granted
CUST-000389,2024-06-26,Western Cape,Stellenbosch,New,granted
CUST-000390,2024-01-01,Western Cape,Cape Town,New,granted
CUST-000391,2024-04-16,Mpumalanga,Nelspruit,New,granted
CUST-000392,2024-03-01,Western Cape,Stellenbosch,New,granted
CUST-000393,2024-02-25,Western Cape,Cape Town,New,unknown
CUST-000394,2024-02-04,Gauteng,Soweto,New,unknown
CUST-000395,2024-03-17,Western Cape,Paarl,New,granted
CUST-000396,2024-03-10,Western Cape,George,New,unknown
CUST-000397,2024-04-12,Gauteng,Johannesburg,New,denied
CUST-000398,2024-03-17,North West,Rustenburg,Lapsed Reactivated,unknown
CUST-000399,2024-02-10,Gauteng,Soweto,Returning,granted
CUST-000400,2024-03-14,Northern Cape,Kimberley,New,granted
CUST-000401,2024-04-06,Western Cape,Stellenbosch,Returning,granted
CUST-000402,2024-05-02,Gauteng,Pretoria,New,granted
CUST-000403,2024-02-17,Kwazulu-Natal,Pietermaritzburg,Returning,granted
CUST-000404,2024-05-31,Eastern Cape,East London,New,denied
CUST-000405,2024-06-22,Western Cape,Stellenbosch,New,granted
CUST-000406,2024-06-04,Northern Cape,Kimberley,New,granted
CUST-000407,2024-05-21,Gauteng,Pretoria,New,granted
CUST-000408,2024-03-20,Gauteng,Sandton,New,granted
CUST-000409,2024-03-02,Kwazulu-Natal,Durban,Vip,granted
CUST-000410,2024-06-08,Eastern Cape,East London,Returning,denied
CUST-000411,2024-02-15,Western Cape,George,Vip,granted
CUST-000412,2024-02-07,Gauteng,Johannesburg,Returning,granted
CUST-000413,2024-02-17,Northern Cape,Kimberley,New,granted
CUST-000414,2024-01-26,Western Cape,Cape Town,New,granted
CUST-000415,2024-01-21,Western Cape,Cape Town,New,denied
CUST-000416,2024-06-18,Gauteng,Sandton,New,granted
CUST-000417,2024-01-15,Kwazulu-Natal,Umhlanga,New,granted
CUST-000418,2024-02-15,Gauteng,Sandton,New,granted
CUST-000419,2024-05-23,Gauteng,Pretoria,New,denied
CUST-000420,2024-06-03,Western Cape,Paarl,Returning,granted
CUST-000421,2024-05-07,Western Cape,Paarl,New,granted
CUST-000422,2024-03-02,Gauteng,Johannesburg,Vip,granted
CUST-000423,2024-01-20,Gauteng,Pretoria,Returning,denied
CUST-000424,2024-02-16,Gauteng,Soweto,New,denied
CUST-000425,2024-01-13,Western Cape,Cape Town,New,granted
CUST-000426,2024-06-08,Gauteng,Sandton,Returning,denied
CUST-000427,2024-02-23,Gauteng,Johannesburg,Lapsed Reactivated,granted
CUST-000428,2024-02-20,Western Cape,George,Returning,unknown
CUST-000429,2024-05-29,Western Cape,Paarl,New,granted
