touchpoint_id,order_id,customer_id,touchpoint_date,channel,campaign_name,attribution_model,attributed_conversion,view_through_flag
TP-000194,ORD-2024-000194,CUST-005713,2024-02-08,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000195,ORD-2024-000195,CUST-006936,2024-01-02,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000198,ORD-2024-000198,CUST-002676,2024-06-09,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000208,ORD-2024-000208,CUST-005574,2024-02-27,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000210,ORD-2024-000210,CUST-002050,2024-04-21,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000211,ORD-2024-000211,CUST-003087,2024-04-04,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000221,ORD-2024-000221,CUST-007940,2024-03-23,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000228,ORD-2024-000228,CUST-005395,2024-06-06,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000230,ORD-2024-000230,CUST-006024,2024-05-29,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000234,ORD-2024-000234,CUST-009121,2024-05-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000238,ORD-2024-000238,CUST-002873,2024-01-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000250,ORD-2024-000250,CUST-001140,2024-04-02,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000260,ORD-2024-000260,CUST-003115,2024-02-07,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000270,ORD-2024-000270,CUST-009933,2024-03-09,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000279,ORD-2024-000279,CUST-010238,2024-04-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000306,ORD-2024-000306,CUST-007457,2024-03-12,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000316,ORD-2024-000316,CUST-001676,2024-06-10,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000321,ORD-2024-000321,CUST-006387,2024-05-13,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000334,ORD-2024-000334,CUST-000427,2024-02-02,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000345,ORD-2024-000345,CUST-002347,2024-01-23,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000353,ORD-2024-000353,CUST-009731,2024-03-20,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000355,ORD-2024-000355,CUST-004741,2024-05-17,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000375,ORD-2024-000375,CUST-005127,2024-02-07,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000377,ORD-2024-000377,CUST-003767,2024-06-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000379,ORD-2024-000379,CUST-005004,2024-03-17,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000389,ORD-2024-000389,CUST-007986,2024-04-02,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000398,ORD-2024-000398,CUST-008861,2024-03-09,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000402,ORD-2024-000402,CUST-005636,2024-04-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000407,ORD-2024-000407,CUST-000893,2024-06-06,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000419,ORD-2024-000419,CUST-005582,2024-05-21,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000423,ORD-2024-000423,CUST-003006,2024-05-29,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000439,ORD-2024-000439,CUST-006094,2024-03-30,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000443,ORD-2024-000443,CUST-010048,2024-05-23,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000451,ORD-2024-000451,CUST-002903,2024-03-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000475,ORD-2024-000475,CUST-003689,2024-04-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000478,ORD-2024-000478,CUST-002386,2024-06-24,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000487,ORD-2024-000487,CUST-001557,2024-06-25,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000495,ORD-2024-000495,CUST-003671,2024-01-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000508,ORD-2024-000508,CUST-009338,2024-03-04,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000514,ORD-2024-000514,CUST-003142,2024-01-03,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000518,ORD-2024-000518,CUST-003330,2024-01-26,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000526,ORD-2024-000526,CUST-002214,2024-01-13,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000532,ORD-2024-000532,CUST-009291,2024-01-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000535,ORD-2024-000535,CUST-009799,2024-04-30,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000536,ORD-2024-000536,CUST-001898,2024-05-19,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000537,ORD-2024-000537,CUST-007274,2024-02-29,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000559,ORD-2024-000559,CUST-004456,2024-02-17,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000560,ORD-2024-000560,CUST-002852,2024-01-19,DV360,H1_Programmatic_Prospecting_Retail,last_click,0,false
TP-000566,ORD-2024-000566,CUST-000436,2024-04-06,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000590,ORD-2024-000590,CUST-004285,2024-03-22,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000605,ORD-2024-000605,CUST-000517,2024-01-15,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-000606,ORD-2024-000606,CUST-001693,2024-03-23,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000611,ORD-2024-000611,CUST-009880,2024-01-19,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-000617,ORD-2024-000617,CUST-006934,2024-03-29,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000621,ORD-2024-000621,CUST-008813,2024-02-18,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000626,ORD-2024-000626,CUST-004187,2024-01-03,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000636,ORD-2024-000636,CUST-000249,2024-05-04,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000638,ORD-2024-000638,CUST-005167,2024-05-03,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000639,ORD-2024-000639,CUST-005659,2024-04-14,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000643,ORD-2024-000643,CUST-003160,2024-03-31,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000657,ORD-2024-000657,CUST-010189,2024-01-04,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000664,ORD-2024-000664,CUST-000050,2024-06-06,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000681,ORD-2024-000681,CUST-007553,2024-05-06,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000704,ORD-2024-000704,CUST-007478,2024-05-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000720,ORD-2024-000720,CUST-006962,2024-04-07,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-000723,ORD-2024-000723,CUST-008076,2024-06-14,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000724,ORD-2024-000724,CUST-009945,2024-02-10,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000725,ORD-2024-000725,CUST-003851,2024-02-12,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000727,ORD-2024-000727,CUST-008172,2024-04-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000736,ORD-2024-000736,CUST-007530,2024-03-11,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000755,ORD-2024-000755,CUST-004996,2024-06-05,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000760,ORD-2024-000760,CUST-004341,2024-05-09,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000762,ORD-2024-000762,CUST-008816,2024-02-11,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000766,ORD-2024-000766,CUST-004546,2024-06-19,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000781,ORD-2024-000781,CUST-000247,2024-02-04,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000795,ORD-2024-000795,CUST-007298,2024-03-25,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000801,ORD-2024-000801,CUST-001325,2024-03-09,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000811,ORD-2024-000811,CUST-008756,2024-04-13,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000825,ORD-2024-000825,CUST-004504,2024-04-24,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000836,ORD-2024-000836,CUST-000698,2024-04-24,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000838,ORD-2024-000838,CUST-004838,2024-06-21,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000839,ORD-2024-000839,CUST-008805,2024-01-09,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000842,ORD-2024-000842,CUST-000281,2024-04-17,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000843,ORD-2024-000843,CUST-006924,2024-02-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000848,ORD-2024-000848,CUST-000305,2024-04-01,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000860,ORD-2024-000860,CUST-009271,2024-04-26,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000862,ORD-2024-000862,CUST-003250,2024-02-10,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000863,ORD-2024-000863,CUST-010044,2024-01-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000869,ORD-2024-000869,CUST-010193,2024-03-19,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000881,ORD-2024-000881,CUST-004828,2024-06-22,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000885,ORD-2024-000885,CUST-008629,2024-03-02,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000891,ORD-2024-000891,CUST-006810,2024-03-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000895,ORD-2024-000895,CUST-008057,2024-02-19,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000897,ORD-2024-000897,CUST-002835,2024-05-23,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000904,ORD-2024-000904,CUST-002348,2024-01-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000919,ORD-2024-000919,CUST-001999,2024-03-21,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000920,ORD-2024-000920,CUST-010048,2024-05-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000921,ORD-2024-000921,CUST-006258,2024-05-11,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000925,ORD-2024-000925,CUST-008526,2024-03-01,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000944,ORD-2024-000944,CUST-003201,2024-04-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000948,ORD-2024-000948,CUST-002273,2024-03-14,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000951,ORD-2024-000951,CUST-006362,2024-06-27,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000962,ORD-2024-000962,CUST-003552,2024-03-10,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-000975,ORD-2024-000975,CUST-007994,2024-06-05,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000976,ORD-2024-000976,CUST-002215,2024-02-27,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000981,ORD-2024-000981,CUST-008565,2024-06-22,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000993,ORD-2024-000993,CUST-009941,2024-06-09,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000996,ORD-2024-000996,CUST-008841,2024-05-22,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001001,ORD-2024-001001,CUST-002516,2024-04-05,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-001003,ORD-2024-001003,CUST-006514,2024-05-09,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001017,ORD-2024-001017,CUST-002014,2024-04-27,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001028,ORD-2024-001028,CUST-006105,2024-01-03,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001036,ORD-2024-001036,CUST-007519,2024-01-29,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001046,ORD-2024-001046,CUST-007409,2024-01-30,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001062,ORD-2024-001062,CUST-006073,2024-04-17,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001063,ORD-2024-001063,CUST-005962,2024-05-19,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-001070,ORD-2024-001070,CUST-009202,2024-02-09,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001077,ORD-2024-001077,CUST-000603,2024-05-30,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001102,ORD-2024-001102,CUST-001402,2024-02-18,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001106,ORD-2024-001106,CUST-006425,2024-05-02,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001111,ORD-2024-001111,CUST-002356,2024-01-05,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001125,ORD-2024-001125,CUST-006897,2024-03-17,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001135,ORD-2024-001135,CUST-004638,2024-04-03,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001138,ORD-2024-001138,CUST-001504,2024-06-16,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001151,ORD-2024-001151,CUST-008283,2024-05-24,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001154,ORD-2024-001154,CUST-005449,2024-02-25,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001157,ORD-2024-001157,CUST-001794,2024-04-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001160,ORD-2024-001160,CUST-000641,2024-01-06,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001179,ORD-2024-001179,CUST-001350,2024-06-03,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001190,ORD-2024-001190,CUST-007772,2024-02-05,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001195,ORD-2024-001195,CUST-002225,2024-03-28,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-001203,ORD-2024-001203,CUST-005527,2024-05-12,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001206,ORD-2024-001206,CUST-002970,2024-04-07,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001209,ORD-2024-001209,CUST-000170,2024-06-08,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001211,ORD-2024-001211,CUST-006896,2024-03-10,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001212,ORD-2024-001212,CUST-002076,2024-04-07,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001215,ORD-2024-001215,CUST-001137,2024-05-21,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-001216,ORD-2024-001216,CUST-006131,2024-05-29,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001224,ORD-2024-001224,CUST-006269,2024-03-25,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001253,ORD-2024-001253,CUST-009254,2024-04-12,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001255,ORD-2024-001255,CUST-003356,2024-01-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001257,ORD-2024-001257,CUST-002982,2024-02-29,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001259,ORD-2024-001259,CUST-003716,2024-01-26,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001267,ORD-2024-001267,CUST-002665,2024-05-20,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001272,ORD-2024-001272,CUST-009115,2024-05-22,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001279,ORD-2024-001279,CUST-000111,2024-04-06,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001291,ORD-2024-001291,CUST-008074,2024-05-01,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001299,ORD-2024-001299,CUST-002608,2024-04-17,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001306,ORD-2024-001306,CUST-007987,2024-03-31,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001308,ORD-2024-001308,CUST-004745,2024-01-27,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001313,ORD-2024-001313,CUST-008029,2024-03-18,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001319,ORD-2024-001319,CUST-003093,2024-03-21,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-001326,ORD-2024-001326,CUST-000485,2024-03-22,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-001333,ORD-2024-001333,CUST-009902,2024-01-19,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001335,ORD-2024-001335,CUST-002505,2024-03-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001338,ORD-2024-001338,CUST-006949,2024-05-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001340,ORD-2024-001340,CUST-002082,2024-02-09,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001344,ORD-2024-001344,CUST-005984,2024-02-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001352,ORD-2024-001352,CUST-008607,2024-04-10,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001370,ORD-2024-001370,CUST-008062,2024-05-20,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001383,ORD-2024-001383,CUST-009686,2024-04-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001386,ORD-2024-001386,CUST-000054,2024-05-06,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001390,ORD-2024-001390,CUST-005100,2024-06-03,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001393,ORD-2024-001393,CUST-007388,2024-04-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001399,ORD-2024-001399,CUST-006708,2024-04-23,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001408,ORD-2024-001408,CUST-000991,2024-03-01,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001409,ORD-2024-001409,CUST-001513,2024-06-04,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001420,ORD-2024-001420,CUST-000300,2024-03-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001423,ORD-2024-001423,CUST-001172,2024-05-10,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001432,ORD-2024-001432,CUST-009105,2024-04-17,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001436,ORD-2024-001436,CUST-001672,2024-06-19,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001437,ORD-2024-001437,CUST-008334,2024-05-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001438,ORD-2024-001438,CUST-007000,2024-05-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001463,ORD-2024-001463,CUST-008548,2024-05-31,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001473,ORD-2024-001473,CUST-000359,2024-04-13,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001476,ORD-2024-001476,CUST-005388,2024-04-26,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001493,ORD-2024-001493,CUST-007829,2024-01-07,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001496,ORD-2024-001496,CUST-004723,2024-05-17,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001499,ORD-2024-001499,CUST-003354,2024-06-18,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001506,ORD-2024-001506,CUST-005621,2024-05-02,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001522,ORD-2024-001522,CUST-006537,2024-06-10,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001525,ORD-2024-001525,CUST-005893,2024-06-10,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001530,ORD-2024-001530,CUST-000487,2024-03-24,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-001531,ORD-2024-001531,CUST-004852,2024-06-25,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001541,ORD-2024-001541,CUST-003644,2024-02-01,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-001542,ORD-2024-001542,CUST-005840,2024-05-17,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001550,ORD-2024-001550,CUST-002558,2024-03-08,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001554,ORD-2024-001554,CUST-002665,2024-03-31,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001562,ORD-2024-001562,CUST-001242,2024-06-17,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001566,ORD-2024-001566,CUST-008103,2024-05-10,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001570,ORD-2024-001570,CUST-008318,2024-04-14,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001578,ORD-2024-001578,CUST-006768,2024-02-03,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001590,ORD-2024-001590,CUST-009847,2024-04-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001592,ORD-2024-001592,CUST-008059,2024-04-25,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001597,ORD-2024-001597,CUST-009967,2024-01-05,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001607,ORD-2024-001607,CUST-004000,2024-01-24,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001610,ORD-2024-001610,CUST-004079,2024-03-03,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001612,ORD-2024-001612,CUST-000525,2024-04-18,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001618,ORD-2024-001618,CUST-002053,2024-03-09,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001630,ORD-2024-001630,CUST-001664,2024-05-16,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001639,ORD-2024-001639,CUST-005894,2023-12-27,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-001658,ORD-2024-001658,CUST-005999,2024-05-06,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001666,ORD-2024-001666,CUST-002707,2024-02-25,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001670,ORD-2024-001670,CUST-005680,2024-05-08,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001675,ORD-2024-001675,CUST-004336,2024-06-16,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001694,ORD-2024-001694,CUST-005576,2024-04-28,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-001700,ORD-2024-001700,CUST-005849,2024-03-26,Youtube,H1_Video_Awareness_Retail,last_click,1,false
TP-001704,ORD-2024-001704,CUST-008469,2024-04-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-001706,ORD-2024-001706,CUST-010147,2024-05-30,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
