order_item_id,order_id,product_id,sku,product_name,category,quantity,unit_price_zar,discount_zar,line_revenue_zar,gross_margin_pct,_source_note
ORD-2024-000012-ITEM-2,ORD-2024-000012,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,2,118.93,0.00,237.86,0.44,source_export
ORD-2024-000013-ITEM-1,ORD-2024-000013,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,1,131.92,6.60,125.33,0.44,source_export
ORD-2024-000014-ITEM-1,ORD-2024-000014,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,170.78,0.00,170.78,0.42,source_export
ORD-2024-000015-ITEM-1,ORD-2024-000015,SKU-LIFE-004,SKU-LIFE-004,Insulated Travel Mug,Lifestyle,1,180.27,0.00,180.27,0.38,source_export
ORD-2024-000016-ITEM-1,ORD-2024-000016,SKU-DEC-004,SKU-DEC-004,Linen Cushion Cover,Decor,1,140.37,0.00,140.37,0.36,source_export
ORD-2024-000017-ITEM-1,ORD-2024-000017,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,94.34,0.00,94.34,0.55,source_export
ORD-2024-000018-ITEM-1,ORD-2024-000018,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,154.65,0.00,154.65,0.46,source_export
ORD-2024-000019-ITEM-1,ORD-2024-000019,SKU-KIT-005,SKU-KIT-005,Silicone Utensil Set,Kitchen,1,128.22,0.00,128.22,0.48,source_export
ORD-2024-000019-ITEM-2,ORD-2024-000019,SKU-PET-002,SKU-PET-002,Pet Feeding Mat,Pet,1,109.79,5.49,104.30,0.40,source_export
ORD-2024-000020-ITEM-1,ORD-2024-000020,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,113.01,0.00,113.01,0.49,source_export
ORD-2024-000020-ITEM-2,ORD-2024-000020,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,72.84,0.00,72.84,0.52,source_export
ORD-2024-000021-ITEM-1,ORD-2024-000021,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,2,157.77,15.78,299.76,0.46,source_export
ORD-2024-000021-ITEM-2,ORD-2024-000021,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,561.34,0.00,561.34,0.34,source_export
ORD-2024-000021-ITEM-3,ORD-2024-000021,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,700.75,0.00,700.75,0.38,source_export
ORD-2024-000022-ITEM-1,ORD-2024-000022,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,371.63,0.00,371.63,0.37,source_export
ORD-2024-000023-ITEM-1,ORD-2024-000023,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,588.67,29.43,559.24,0.34,source_export
ORD-2024-000023-ITEM-2,ORD-2024-000023,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,148.63,0.00,148.63,0.42,source_export
ORD-2024-000024-ITEM-1,ORD-2024-000024,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,152.09,7.60,144.49,0.42,source_export
ORD-2024-000025-ITEM-1,ORD-2024-000025,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,1,125.74,6.29,119.45,0.44,source_export
ORD-2024-000025-ITEM-2,ORD-2024-000025,SKU-KIT-004,SKU-KIT-004,Copper Water Bottle,Kitchen,1,184.98,9.25,175.73,0.33,source_export
ORD-2024-000025-ITEM-3,ORD-2024-000025,SKU-DEC-001,SKU-DEC-001,Glass Terrarium,Decor,1,333.11,16.66,316.45,0.31,source_export
ORD-2024-000026-ITEM-1,ORD-2024-000026,SKU-DEC-001,SKU-DEC-001,Glass Terrarium,Decor,1,338.57,16.93,321.64,0.31,source_export
ORD-2024-000027-ITEM-1,ORD-2024-000027,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,80.48,0.00,80.48,0.52,source_export
ORD-2024-000027-ITEM-2,ORD-2024-000027,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,420.24,0.00,420.24,0.37,source_export
ORD-2024-000027-ITEM-3,ORD-2024-000027,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,377.32,18.87,358.45,0.37,source_export
ORD-2024-000028-ITEM-1,ORD-2024-000028,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,152.40,0.00,152.40,0.46,source_export
ORD-2024-000029-ITEM-1,ORD-2024-000029,SKU-OUT-001,SKU-OUT-001,Outdoor Beanbag,Outdoor,1,823.99,0.00,823.99,0.25,source_export
ORD-2024-000029-ITEM-2,ORD-2024-000029,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,119.28,0.00,119.28,0.49,source_export
ORD-2024-000029-ITEM-3,ORD-2024-000029,SKU-HOME-002,SKU-HOME-002,Loadshedding LED Lamp,Home Essentials,2,214.21,0.00,428.43,0.41,source_export
ORD-2024-000030-ITEM-1,ORD-2024-000030,SKU-DEC-004,SKU-DEC-004,Linen Cushion Cover,Decor,2,139.40,13.94,264.87,0.36,source_export
ORD-2024-000031-ITEM-1,ORD-2024-000031,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,158.57,7.93,150.64,0.46,source_export
ORD-2024-000032-ITEM-1,ORD-2024-000032,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,371.51,37.15,334.36,0.37,source_export
ORD-2024-000033-ITEM-1,ORD-2024-000033,SKU-LIFE-005,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,1,291.53,14.58,276.96,0.34,source_export
ORD-2024-000034-ITEM-1,ORD-2024-000034,SKU-KIT-005,SKU-KIT-005,Silicone Utensil Set,Kitchen,1,145.77,0.00,145.77,0.48,source_export
ORD-2024-000034-ITEM-2,ORD-2024-000034,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,617.58,30.88,586.70,0.34,source_export
ORD-2024-000035-ITEM-1,ORD-2024-000035,SKU-LIFE-004,SKU-LIFE-004,Insulated Travel Mug,Lifestyle,1,177.53,8.88,168.65,0.38,source_export
ORD-2024-000035-ITEM-2,ORD-2024-000035,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,715.70,35.78,679.91,0.38,source_export
ORD-2024-000036-ITEM-1,ORD-2024-000036,SKU-PET-001,SKU-PET-001,Round Pet Bed,Pet,1,475.34,0.00,475.34,0.28,source_export
ORD-2024-000037-ITEM-1,ORD-2024-000037,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,158.62,7.93,150.69,0.46,source_export
ORD-2024-000038-ITEM-1,ORD-2024-000038,SKU-HOME-002,SKU-HOME-002,Loadshedding LED Lamp,Home Essentials,1,216.76,10.84,205.92,0.41,source_export
ORD-2024-000039-ITEM-1,ORD-2024-000039,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,1,202.93,10.15,192.78,0.39,source_export
ORD-2024-000040-ITEM-1,ORD-2024-000040,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,127.24,0.00,127.24,0.49,source_export
ORD-2024-000041-ITEM-1,ORD-2024-000041,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,93.69,4.68,89.01,0.55,source_export
ORD-2024-000042-ITEM-1,ORD-2024-000042,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,1,124.20,6.21,117.99,0.44,source_export
ORD-2024-000042-ITEM-2,ORD-2024-000042,SKU-LIFE-003,SKU-LIFE-003,Kids Tee Bundle,Lifestyle,2,182.78,18.28,347.28,0.36,source_export
ORD-2024-000043-ITEM-1,ORD-2024-000043,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,617.96,30.90,587.06,0.34,source_export
ORD-2024-000043-ITEM-2,ORD-2024-000043,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,425.55,21.28,404.27,0.37,source_export
ORD-2024-000044-ITEM-1,ORD-2024-000044,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,156.82,7.84,148.98,0.46,source_export
ORD-2024-000045-ITEM-1,ORD-2024-000045,SKU-BED-002,SKU-BED-002,Luxury Throw Blanket,Bedroom,2,587.87,58.79,1116.96,0.29,source_export
ORD-2024-000046-ITEM-1,ORD-2024-000046,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,646.38,32.32,614.06,0.38,source_export
ORD-2024-000047-ITEM-1,ORD-2024-000047,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,632.63,0.00,632.63,0.34,source_export
ORD-2024-000048-ITEM-1,ORD-2024-000048,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,2,593.16,59.32,1127.00,0.34,source_export
ORD-2024-000049-ITEM-1,ORD-2024-000049,SKU-WORK-001,SKU-WORK-001,Desk Organiser,Workspace,1,263.09,0.00,263.09,0.43,source_export
ORD-2024-000050-ITEM-1,ORD-2024-000050,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,2,419.70,0.00,839.40,0.37,source_export
ORD-2024-000051-ITEM-1,ORD-2024-000051,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,85.25,0.00,85.25,0.52,source_export
ORD-2024-000051-ITEM-2,ORD-2024-000051,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,2,649.97,0.00,1299.95,0.38,source_export
ORD-2024-000052-ITEM-1,ORD-2024-000052,SKU-KIT-004,SKU-KIT-004,Copper Water Bottle,Kitchen,1,182.42,0.00,182.42,0.33,source_export
ORD-2024-000053-ITEM-1,ORD-2024-000053,SKU-PET-002,SKU-PET-002,Pet Feeding Mat,Pet,1,124.36,0.00,124.36,0.40,source_export
ORD-2024-000053-ITEM-2,ORD-2024-000053,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,81.29,0.00,81.29,0.52,source_export
ORD-2024-000054-ITEM-1,ORD-2024-000054,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,79.61,0.00,79.61,0.52,source_export
ORD-2024-000054-ITEM-2,ORD-2024-000054,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,93.24,4.66,88.58,0.55,source_export
ORD-2024-000055-ITEM-1,ORD-2024-000055,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,79.92,0.00,79.92,0.52,source_export
ORD-2024-000056-ITEM-1,ORD-2024-000056,SKU-BED-003,SKU-BED-003,Pillow Protector Pair,Bedroom,1,147.02,0.00,147.02,0.39,source_export
ORD-2024-000057-ITEM-1,ORD-2024-000057,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,117.49,0.00,117.49,0.49,source_export
ORD-2024-000058-ITEM-1,ORD-2024-000058,SKU-OUT-001,SKU-OUT-001,Outdoor Beanbag,Outdoor,1,797.40,39.87,757.53,0.25,source_export
ORD-2024-000059-ITEM-1,ORD-2024-000059,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,1,203.58,0.00,203.58,0.39,source_export
ORD-2024-000060-ITEM-1,ORD-2024-000060,SKU-OUT-001,SKU-OUT-001,Outdoor Beanbag,Outdoor,1,809.35,40.47,768.89,0.25,source_export
ORD-2024-000061-ITEM-1,ORD-2024-000061,SKU-WORK-002,SKU-WORK-002,Cable Management Box,Workspace,1,192.76,0.00,192.76,0.41,source_export
ORD-2024-000062-ITEM-1,ORD-2024-000062,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,120.18,0.00,120.18,0.49,source_export
ORD-2024-000062-ITEM-2,ORD-2024-000062,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,87.86,0.00,87.86,0.55,source_export
ORD-2024-000063-ITEM-1,ORD-2024-000063,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,151.60,7.58,144.02,0.46,source_export
ORD-2024-000064-ITEM-1,ORD-2024-000064,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,720.42,36.02,684.40,0.38,source_export
ORD-2024-000065-ITEM-1,ORD-2024-000065,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,120.60,0.00,120.60,0.49,source_export
ORD-2024-000066-ITEM-1,ORD-2024-000066,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,160.49,0.00,160.49,0.46,source_export
ORD-2024-000067-ITEM-1,ORD-2024-000067,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,154.34,7.72,146.62,0.46,source_export
ORD-2024-000068-ITEM-1,ORD-2024-000068,SKU-PET-002,SKU-PET-002,Pet Feeding Mat,Pet,1,121.71,0.00,121.71,0.40,source_export
ORD-2024-000069-ITEM-1,ORD-2024-000069,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,87.67,0.00,87.67,0.55,source_export
ORD-2024-000070-ITEM-1,ORD-2024-000070,SKU-BED-003,SKU-BED-003,Pillow Protector Pair,Bedroom,1,159.32,0.00,159.32,0.39,source_export
ORD-2024-000071-ITEM-1,ORD-2024-000071,SKU-WELL-001,SKU-WELL-001,Yoga Mat,Wellness,1,239.09,0.00,239.09,0.35,source_export
ORD-2024-000071-ITEM-2,ORD-2024-000071,SKU-LIFE-005,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,1,289.25,14.46,274.79,0.34,source_export
ORD-2024-000072-ITEM-1,ORD-2024-000072,SKU-DEC-001,SKU-DEC-001,Glass Terrarium,Decor,1,339.47,16.97,322.50,0.31,source_export
ORD-2024-000073-ITEM-1,ORD-2024-000073,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,118.05,5.90,112.15,0.49,source_export
ORD-2024-000074-ITEM-1,ORD-2024-000074,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,1,122.45,0.00,122.45,0.49,source_export
ORD-2024-000074-ITEM-2,ORD-2024-000074,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,2,73.73,0.00,147.47,0.52,source_export
ORD-2024-000074-ITEM-3,ORD-2024-000074,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,95.62,0.00,95.62,0.55,source_export
ORD-2024-000075-ITEM-1,ORD-2024-000075,SKU-BED-003,SKU-BED-003,Pillow Protector Pair,Bedroom,1,165.15,8.26,156.89,0.39,source_export
ORD-2024-000075-ITEM-2,ORD-2024-000075,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,2,409.56,0.00,819.12,0.37,source_export
ORD-2024-000076-ITEM-1,ORD-2024-000076,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,154.87,7.74,147.13,0.42,source_export
ORD-2024-000076-ITEM-2,ORD-2024-000076,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,90.70,4.54,86.17,0.55,source_export
ORD-2024-000077-ITEM-1,ORD-2024-000077,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,170.63,8.53,162.10,0.42,source_export
ORD-2024-000078-ITEM-1,ORD-2024-000078,SKU-HOME-002,SKU-HOME-002,Loadshedding LED Lamp,Home Essentials,1,223.14,22.31,200.83,0.41,source_export
ORD-2024-000078-ITEM-2,ORD-2024-000078,SKU-LIFE-003,SKU-LIFE-003,Kids Tee Bundle,Lifestyle,2,198.63,19.86,377.40,0.36,source_export
ORD-2024-000079-ITEM-1,ORD-2024-000079,SKU-KIT-006,SKU-KIT-006,Reusable Food Wraps,Kitchen,1,96.59,4.83,91.76,0.50,source_export
ORD-2024-000079-ITEM-2,ORD-2024-000079,SKU-DEC-003,SKU-DEC-003,Decorative Vase,Decor,1,253.15,12.66,240.49,0.30,source_export
ORD-2024-000080-ITEM-1,ORD-2024-000080,SKU-DEC-001,SKU-DEC-001,Glass Terrarium,Decor,1,307.74,30.77,276.96,0.31,source_export
ORD-2024-000081-ITEM-1,ORD-2024-000081,SKU-PET-002,SKU-PET-002,Pet Feeding Mat,Pet,1,115.62,0.00,115.62,0.40,source_export
ORD-2024-000081-ITEM-2,ORD-2024-000081,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,2,133.49,13.35,253.64,0.44,source_export
ORD-2024-000082-ITEM-1,ORD-2024-000082,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,91.89,4.59,87.30,0.55,source_export
ORD-2024-000082-ITEM-2,ORD-2024-000082,SKU-DEC-002,SKU-DEC-002,Minimal Wall Clock,Decor,1,309.33,0.00,309.33,0.32,source_export
ORD-2024-000082-ITEM-3,ORD-2024-000082,SKU-LIFE-003,SKU-LIFE-003,Kids Tee Bundle,Lifestyle,1,193.84,0.00,193.84,0.36,source_export
ORD-2024-000083-ITEM-1,ORD-2024-000083,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,615.08,0.00,615.08,0.34,source_export
ORD-2024-000083-ITEM-2,ORD-2024-000083,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,2,94.82,9.48,180.17,0.55,source_export
ORD-2024-000084-ITEM-1,ORD-2024-000084,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,1,206.62,20.66,185.96,0.39,source_export
ORD-2024-000085-ITEM-1,ORD-2024-000085,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,728.79,0.00,728.79,0.38,source_export
ORD-2024-000086-ITEM-1,ORD-2024-000086,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,78.45,3.92,74.53,0.52,source_export
ORD-2024-000086-ITEM-2,ORD-2024-000086,SKU-HOME-004,SKU-HOME-004,Underbed Storage Bag,Home Organisation,1,200.75,10.04,190.71,0.43,source_export
ORD-2024-000087-ITEM-1,ORD-2024-000087,SKU-HOME-004,SKU-HOME-004,Underbed Storage Bag,Home Organisation,1,196.04,0.00,196.04,0.43,source_export
ORD-2024-000087-ITEM-2,ORD-2024-000087,SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo,Lifestyle,2,118.80,0.00,237.61,0.49,source_export
ORD-2024-000087-ITEM-3,ORD-2024-000087,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,2,85.22,0.00,170.45,0.52,source_export
ORD-2024-000088-ITEM-1,ORD-2024-000088,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,424.10,0.00,424.10,0.37,source_export
ORD-2024-000088-ITEM-2,ORD-2024-000088,SKU-DEC-004,SKU-DEC-004,Linen Cushion Cover,Decor,1,156.17,7.81,148.36,0.36,source_export
ORD-2024-000089-ITEM-1,ORD-2024-000089,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,1,133.55,0.00,133.55,0.44,source_export
ORD-2024-000090-ITEM-1,ORD-2024-000090,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,679.14,33.96,645.18,0.38,source_export
ORD-2024-000091-ITEM-1,ORD-2024-000091,SKU-PET-001,SKU-PET-001,Round Pet Bed,Pet,2,449.93,0.00,899.86,0.28,source_export
ORD-2024-000091-ITEM-2,ORD-2024-000091,SKU-DEC-001,SKU-DEC-001,Glass Terrarium,Decor,1,349.82,17.49,332.33,0.31,source_export
ORD-2024-000092-ITEM-1,ORD-2024-000092,SKU-WORK-001,SKU-WORK-001,Desk Organiser,Workspace,1,265.84,0.00,265.84,0.43,source_export
ORD-2024-000093-ITEM-1,ORD-2024-000093,SKU-LIFE-005,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,2,287.16,28.72,545.60,0.34,source_export
ORD-2024-000094-ITEM-1,ORD-2024-000094,SKU-KIT-006,SKU-KIT-006,Reusable Food Wraps,Kitchen,1,100.46,0.00,100.46,0.50,source_export
ORD-2024-000095-ITEM-1,ORD-2024-000095,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,595.95,29.80,566.16,0.34,source_export
ORD-2024-000095-ITEM-2,ORD-2024-000095,SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,1,601.84,30.09,571.75,0.34,source_export
ORD-2024-000096-ITEM-1,ORD-2024-000096,SKU-DEC-004,SKU-DEC-004,Linen Cushion Cover,Decor,1,143.96,0.00,143.96,0.36,source_export
ORD-2024-000097-ITEM-1,ORD-2024-000097,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,2,76.15,0.00,152.29,0.52,source_export
ORD-2024-000098-ITEM-1,ORD-2024-000098,SKU-PET-002,SKU-PET-002,Pet Feeding Mat,Pet,1,116.14,0.00,116.14,0.40,source_export
ORD-2024-000099-ITEM-1,ORD-2024-000099,SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,1,698.86,0.00,698.86,0.38,source_export
ORD-2024-000100-ITEM-1,ORD-2024-000100,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,1,229.53,0.00,229.53,0.39,source_export
ORD-2024-000101-ITEM-1,ORD-2024-000101,SKU-KIT-005,SKU-KIT-005,Silicone Utensil Set,Kitchen,1,146.75,7.34,139.42,0.48,source_export
ORD-2024-000101-ITEM-2,ORD-2024-000101,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,2,84.06,0.00,168.11,0.55,source_export
ORD-2024-000102-ITEM-1,ORD-2024-000102,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,374.44,18.72,355.72,0.37,source_export
ORD-2024-000102-ITEM-2,ORD-2024-000102,SKU-LIFE-005,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,2,292.11,0.00,584.22,0.34,source_export
ORD-2024-000102-ITEM-3,ORD-2024-000102,SKU-LIFE-003,SKU-LIFE-003,Kids Tee Bundle,Lifestyle,1,190.36,0.00,190.36,0.36,source_export
ORD-2024-000103-ITEM-1,ORD-2024-000103,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,1,204.24,0.00,204.24,0.39,source_export
ORD-2024-000103-ITEM-2,ORD-2024-000103,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,151.21,0.00,151.21,0.46,source_export
ORD-2024-000104-ITEM-1,ORD-2024-000104,SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,1,137.99,0.00,137.99,0.44,source_export
ORD-2024-000105-ITEM-1,ORD-2024-000105,SKU-KIT-006,SKU-KIT-006,Reusable Food Wraps,Kitchen,1,98.20,0.00,98.20,0.50,source_export
ORD-2024-000106-ITEM-1,ORD-2024-000106,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,83.00,0.00,83.00,0.52,source_export
ORD-2024-000106-ITEM-2,ORD-2024-000106,SKU-DEC-003,SKU-DEC-003,Decorative Vase,Decor,1,255.21,12.76,242.45,0.30,source_export
ORD-2024-000107-ITEM-1,ORD-2024-000107,SKU-WELL-001,SKU-WELL-001,Yoga Mat,Wellness,1,271.92,0.00,271.92,0.35,source_export
ORD-2024-000107-ITEM-2,ORD-2024-000107,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,83.98,4.20,79.79,0.52,source_export
ORD-2024-000108-ITEM-1,ORD-2024-000108,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,2,214.99,21.50,408.47,0.39,source_export
ORD-2024-000108-ITEM-2,ORD-2024-000108,SKU-BED-003,SKU-BED-003,Pillow Protector Pair,Bedroom,1,155.62,0.00,155.62,0.39,source_export
ORD-2024-000109-ITEM-1,ORD-2024-000109,SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,1,382.30,38.23,344.07,0.37,source_export
ORD-2024-000109-ITEM-2,ORD-2024-000109,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,86.06,8.61,77.45,0.55,source_export
ORD-2024-000110-ITEM-1,ORD-2024-000110,SKU-WORK-001,SKU-WORK-001,Desk Organiser,Workspace,1,249.64,0.00,249.64,0.43,source_export
ORD-2024-000111-ITEM-1,ORD-2024-000111,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,150.53,7.53,143.00,0.42,source_export
ORD-2024-000112-ITEM-1,ORD-2024-000112,SKU-WORK-001,SKU-WORK-001,Desk Organiser,Workspace,1,253.00,12.65,240.35,0.43,source_export
ORD-2024-000113-ITEM-1,ORD-2024-000113,SKU-KIT-006,SKU-KIT-006,Reusable Food Wraps,Kitchen,1,100.39,5.02,95.37,0.50,source_export
ORD-2024-000114-ITEM-1,ORD-2024-000114,SKU-DEC-001,SKU-DEC-001,Glass Terrarium,Decor,1,309.94,0.00,309.94,0.31,source_export
