order_id,order_date,customer_id,attribution_channel,campaign_name,is_paid_attributed,order_subtotal_zar,discount_total_zar,shipping_fee_zar,order_total_zar,payment_method,order_status,_source_note
ORD-2024-000024,2024-04-02,CUST-005682,Organic Search,Organic,false,144.49,7.60,59.00,203.49,instant_eft,completed,source_export
ORD-2024-000025,2024-06-20,CUST-004438,Organic Search,Organic,false,611.63,32.20,0.00,611.63,wallet,completed,source_export
ORD-2024-000026,2024-01-07,CUST-010015,Email,Lifecycle_Email,false,321.64,16.93,69.00,390.64,card,completed,source_export
ORD-2024-000027,2024-04-14,CUST-003315,CM360,H1_Display_MidFunnel_Retail,true,859.17,18.87,0.00,859.17,wallet,completed,source_export
ORD-2024-000028,2024-04-28,CUST-006936,Google Ads,H1_Search_Core_Retail,true,152.40,0.00,69.00,221.40,payflex,completed,source_export
ORD-2024-000029,2024-01-23,CUST-009871,Email,Lifecycle_Email,false,1371.70,0.00,0.00,1371.70,wallet,completed,source_export
ORD-2024-000030,2024-06-07,CUST-005187,Organic Search,Organic,false,264.87,13.94,59.00,323.87,instant_eft,completed,source_export
ORD-2024-000031,2024-06-19,CUST-008848,Organic Search,Organic,false,150.64,7.93,59.00,209.64,instant_eft,completed,source_export
ORD-2024-000032,2024-06-14,CUST-003359,Google Ads,H1_Search_Core_Retail,true,334.36,37.15,49.00,383.36,card,completed,source_export
ORD-2024-000033,2024-04-30,CUST-002219,Organic Search,Organic,false,276.96,14.58,69.00,345.96,card,completed,source_export
ORD-2024-000034,2024-05-14,CUST-000720,Email,Lifecycle_Email,false,732.47,30.88,0.00,732.47,card,completed,source_export
ORD-2024-000035,2024-06-21,CUST-000524,Organic Search,Organic,false,848.56,44.66,0.00,848.56,card,completed,source_export
ORD-2024-000036,2024-05-04,CUST-009430,Referral,Referral_Partners,false,475.34,0.00,0.00,475.34,card,completed,source_export
ORD-2024-000037,2024-01-27,CUST-007961,DV360,H1_Programmatic_Prospecting_Retail,true,150.69,7.93,59.00,209.69,instant_eft,completed,source_export
ORD-2024-000038,2024-05-14,CUST-001501,Email,Lifecycle_Email,false,205.92,10.84,69.00,274.92,instant_eft,completed,source_export
ORD-2024-000039,2024-06-11,CUST-008713,Organic Search,Organic,false,192.78,10.15,49.00,241.78,card,completed,source_export
ORD-2024-000040,2024-02-13,CUST-005745,DV360,H1_Programmatic_Prospecting_Retail,true,127.24,0.00,59.00,186.24,instant_eft,completed,source_export
ORD-2024-000041,2024-05-17,CUST-004146,Referral,Referral_Partners,false,89.01,4.68,59.00,148.01,card,completed,source_export
ORD-2024-000042,2024-03-17,CUST-006871,Organic Search,Organic,false,465.27,24.49,0.00,465.27,card,completed,source_export
ORD-2024-000043,2024-06-28,CUST-005836,Organic Search,Organic,false,991.33,52.18,0.00,991.33,card,completed,source_export
ORD-2024-000044,2024-01-09,CUST-005357,Referral,Referral_Partners,false,148.98,7.84,69.00,217.98,payflex,completed,source_export
ORD-2024-000045,2024-05-21,CUST-003920,Organic Search,Organic,false,1116.96,58.79,0.00,1116.96,card,completed,source_export
ORD-2024-000046,2024-02-04,CUST-007461,Referral,Referral_Partners,false,614.06,32.32,0.00,614.06,card,completed,source_export
ORD-2024-000047,2024-01-24,CUST-000191,Organic Search,Organic,false,632.63,0.00,0.00,632.63,instant_eft,completed,source_export
ORD-2024-000048,2024-04-24,CUST-009615,Organic Search,Organic,false,1127.00,59.32,0.00,1127.00,card,completed,source_export
ORD-2024-000049,09/01/2024,CUST-001139,Referral,Referral_Partners,false,263.09,0.00,59.00,322.09,card,completed,source_export
ORD-2024-000050,2024-03-02,CUST-002938,Direct,Direct,false,839.40,0.00,0.00,839.40,instant_eft,completed,source_export
ORD-2024-000051,2024-06-17,CUST-000972,Direct,Direct,false,1385.20,0.00,0.00,1385.20,card,completed,source_export
ORD-2024-000052,2024-03-19,CUST-009039,Direct,Direct,false,182.42,0.00,59.00,241.42,card,completed,source_export
ORD-2024-000053,2024-02-18,CUST-007998,Email,Lifecycle_Email,false,205.65,0.00,59.00,264.65,instant_eft,completed,source_export
ORD-2024-000054,2024-06-27,CUST-006604,Email,Lifecycle_Email,false,168.19,4.66,59.00,227.19,card,completed,source_export
ORD-2024-000055,2024-03-14,CUST-006721,Direct,Direct,false,79.92,0.00,49.00,128.92,card,completed,source_export
ORD-2024-000056,2024-01-11,CUST-005283,Direct,Direct,false,147.02,0.00,49.00,196.02,card,completed,source_export
ORD-2024-000057,2024-04-08,CUST-001245,Referral,Referral_Partners,false,117.49,0.00,49.00,166.49,wallet,cancelled,source_export
ORD-2024-000058,2024-03-16,CUST-003694,Organic Search,Organic,false,757.53,39.87,0.00,757.53,card,completed,source_export
ORD-2024-000059,2024-02-03,CUST-009568,CM360,H1_Display_MidFunnel_Retail,true,203.58,0.00,69.00,272.58,card,completed,source_export
ORD-2024-000060,2024-05-12,CUST-005986,Organic Search,Organic,false,768.89,40.47,0.00,768.89,instant_eft,completed,source_export
ORD-2024-000061,2024-04-28,CUST-001982,Email,Lifecycle_Email,false,192.76,0.00,69.00,261.76,wallet,completed,source_export
ORD-2024-000062,2024-05-02,CUST-007605,Direct,Direct,false,208.04,0.00,49.00,257.04,instant_eft,completed,source_export
ORD-2024-000063,2024-05-22,CUST-009062,Email,Lifecycle_Email,false,144.02,7.58,59.00,203.02,card,completed,source_export
ORD-2024-000064,2024-04-26,CUST-004918,Organic Search,Organic,false,684.40,36.02,0.00,684.40,payflex,completed,source_export
ORD-2024-000065,2024-01-01,CUST-009473,Organic Search,Organic,false,120.60,0.00,69.00,189.60,card,completed,source_export
ORD-2024-000066,2024-06-02,CUST-010338,Email,Lifecycle_Email,false,160.49,0.00,69.00,229.49,card,refunded,source_export
ORD-2024-000067,2024-05-07,CUST-001652,Direct,Direct,false,146.62,7.72,49.00,195.62,wallet,completed,source_export
ORD-2024-000068,2024-02-11,CUST-003727,Referral,Referral_Partners,false,121.71,0.00,49.00,170.71,wallet,refunded,source_export
ORD-2024-000069,2024-04-09,CUST-004847,Organic Search,Organic,false,87.67,0.00,49.00,136.67,instant_eft,completed,source_export
ORD-2024-000070,2024-02-20,CUST-000102,Organic Search,Organic,false,159.32,0.00,59.00,218.32,wallet,cancelled,source_export
ORD-2024-000071,2024-06-19,CUST-003471,Email,Lifecycle_Email,false,513.88,14.46,0.00,513.88,payflex,completed,source_export
ORD-2024-000072,2024-03-15,CUST-003948,Google Ads,H1_Search_Core_Retail,true,322.50,16.97,59.00,381.50,card,completed,source_export
ORD-2024-000073,2024-03-30,CUST-001822,Organic Search,Organic,false,112.15,5.90,49.00,161.15,card,completed,source_export
ORD-2024-000074,2024-06-30,CUST-008610,Referral,Referral_Partners,false,365.54,0.00,59.00,424.54,card,completed,source_export
ORD-2024-000075,2024-01-18,CUST-001362,Direct,Direct,false,976.01,8.26,0.00,976.01,card,completed,source_export
ORD-2024-000076,2024-01-26,CUST-005782,Direct,Direct,false,233.30,12.28,59.00,292.30,card,completed,source_export
ORD-2024-000077,2024-06-10,CUST-009889,Email,Lifecycle_Email,false,162.10,8.53,59.00,221.10,instant_eft,completed,source_export
ORD-2024-000078,2024-04-24,CUST-005133,Google Ads,H1_Search_Core_Retail,true,578.23,42.17,0.00,578.23,instant_eft,completed,source_export
ORD-2024-000079,2024-06-26,CUST-007348,Email,Lifecycle_Email,false,332.25,17.49,59.00,391.25,card,completed,source_export
ORD-2024-000080,2024-03-22,CUST-006645,Google Ads,H1_Search_Core_Retail,true,276.96,30.77,59.00,335.96,wallet,completed,source_export
ORD-2024-000081,2024-04-13,CUST-001301,Organic Search,Organic,false,369.26,13.35,59.00,428.26,card,completed,source_export
ORD-2024-000082,2024-06-12,CUST-001502,Email,Lifecycle_Email,false,590.47,4.59,0.00,590.47,card,completed,source_export
ORD-2024-000083,2024-02-05,CUST-001924,Organic Search,Organic,false,795.25,9.48,0.00,795.25,card,completed,source_export
ORD-2024-000084,2024-04-09,CUST-005051,DV360,H1_Programmatic_Prospecting_Retail,true,185.96,20.66,59.00,244.96,card,completed,source_export
ORD-2024-000085,2024-01-09,CUST-010123,DV360,H1_Programmatic_Prospecting_Retail,true,728.79,0.00,0.00,728.79,card,completed,source_export
ORD-2024-000086,2024-02-08,CUST-007030,Email,Lifecycle_Email,false,265.24,13.96,69.00,334.24,instant_eft,completed,source_export
ORD-2024-000087,2024-03-23,CUST-005262,Direct,Direct,false,604.10,0.00,0.00,604.10,payflex,completed,source_export
ORD-2024-000088,2024-05-10,CUST-009596,Referral,Referral_Partners,false,572.46,7.81,0.00,572.46,card,completed,source_export
ORD-2024-000089,2024-03-29,CUST-002121,Referral,Referral_Partners,false,133.55,0.00,69.00,202.55,card,completed,source_export
ORD-2024-000090,2024-01-13,CUST-000870,Organic Search,Organic,false,645.18,33.96,0.00,645.18,instant_eft,completed,source_export
ORD-2024-000091,2024-06-30,CUST-007335,Organic Search,Organic,false,1232.19,17.49,0.00,1232.19,instant_eft,completed,source_export
ORD-2024-000092,2024-03-24,CUST-001626,DV360,H1_Programmatic_Prospecting_Retail,true,265.84,0.00,59.00,324.84,wallet,completed,source_export
ORD-2024-000093,2024-01-27,CUST-005603,Organic Search,Organic,false,545.60,28.72,0.00,545.60,card,completed,source_export
ORD-2024-000094,2024-03-17,CUST-001421,Organic Search,Organic,false,100.46,0.00,59.00,159.46,card,completed,source_export
ORD-2024-000095,2024-04-02,CUST-008343,Email,Lifecycle_Email,false,1137.91,59.89,0.00,1137.91,wallet,completed,source_export
ORD-2024-000096,2024-05-20,CUST-010266,Email,Lifecycle_Email,false,143.96,0.00,69.00,212.96,card,completed,source_export
ORD-2024-000097,2024-01-22,CUST-001921,Organic Search,Organic,false,152.29,0.00,59.00,211.29,card,completed,source_export
ORD-2024-000098,2024-04-02,CUST-005848,Organic Search,Organic,false,116.14,0.00,69.00,185.14,card,completed,source_export
ORD-2024-000099,2024-05-23,CUST-000274,Organic Search,Organic,false,698.86,0.00,0.00,698.86,card,completed,source_export
ORD-2024-000100,2024-02-02,CUST-003888,Referral,Referral_Partners,false,229.53,0.00,49.00,278.53,wallet,completed,source_export
ORD-2024-000101,2024-02-19,CUST-000414,Organic Search,Organic,false,307.53,7.34,49.00,356.53,card,completed,source_export
ORD-2024-000102,2024-04-24,CUST-002717,Referral,Referral_Partners,false,1130.30,18.72,0.00,1130.30,instant_eft,completed,source_export
ORD-2024-000103,2024-02-19,CUST-003416,Email,Lifecycle_Email,false,355.45,0.00,69.00,424.45,payflex,completed,source_export
ORD-2024-000104,2024-04-22,CUST-009928,Referral,Referral_Partners,false,137.99,0.00,49.00,186.99,card,completed,source_export
ORD-2024-000105,2024-04-10,CUST-001121,Organic Search,Organic,false,98.20,0.00,59.00,157.20,card,completed,source_export
ORD-2024-000106,2024-06-10,CUST-007510,Organic Search,Organic,false,325.45,12.76,59.00,384.45,card,completed,source_export
ORD-2024-000107,2024-01-16,CUST-006626,Organic Search,Organic,false,351.71,4.20,59.00,410.71,card,completed,source_export
ORD-2024-000108,2024-03-31,CUST-008180,Referral,Referral_Partners,false,564.09,21.50,0.00,564.09,card,completed,source_export
ORD-2024-000109,2024-03-20,CUST-003621,Google Ads,H1_Search_Core_Retail,true,421.52,46.84,49.00,470.52,wallet,completed,source_export
ORD-2024-000110,2024-05-20,CUST-003697,Organic Search,Organic,false,249.64,0.00,49.00,298.64,card,completed,source_export
ORD-2024-000111,01/05/2024,CUST-002369,Referral,Referral_Partners,false,143.00,7.53,59.00,202.00,card,completed,source_export
ORD-2024-000112,2024-03-28,CUST-009962,Referral,Referral_Partners,false,240.35,12.65,59.00,R 299.35,card,completed,source_export
ORD-2024-000113,2024-01-12,CUST-005086,Email,Lifecycle_Email,false,95.37,5.02,59.00,154.37,card,completed,source_export
ORD-2024-000114,2024-01-10,CUST-001395,Organic Search,Organic,false,1417.34,0.00,0.00,1417.34,card,completed,source_export
ORD-2024-000115,2024-02-18,CUST-008942,Email,Lifecycle_Email,false,232.72,0.00,49.00,281.72,wallet,completed,source_export
ORD-2024-000116,2024-05-28,CUST-001509,Organic Search,Organic,false,682.42,0.00,0.00,682.42,card,completed,source_export
ORD-2024-000117,2024-05-23,CUST-002141,Organic Search,Organic,false,189.94,10.00,69.00,258.94,instant_eft,completed,source_export
ORD-2024-000118,2024-04-03,CUST-003426,Email,Lifecycle_Email,false,118.00,0.00,59.00,177.00,instant_eft,completed,source_export
ORD-2024-000119,2024-06-12,CUST-006572,Organic Search,Organic,false,288.27,15.17,49.00,337.27,card,completed,source_export
ORD-2024-000120,2024-03-16,CUST-000530,Direct,Direct,false,301.28,0.00,49.00,350.28,card,completed,source_export
ORD-2024-000121,2024-05-20,CUST-003977,Email,Lifecycle_Email,false,546.00,9.91,0.00,546.00,card,completed,source_export
ORD-2024-000122,2024-05-23,CUST-002885,Organic Search,Organic,false,803.82,0.00,0.00,803.82,card,completed,source_export
ORD-2024-000123,2024-01-28,CUST-009347,Direct,Direct,false,358.01,0.00,69.00,427.01,card,completed,source_export
ORD-2024-000124,2024-01-16,CUST-006478,Google Ads,H1_Search_Core_Retail,true,138.68,15.41,59.00,197.68,wallet,completed,source_export
ORD-2024-000125,2024-04-19,CUST-003913,Direct,Direct,false,124.32,0.00,69.00,193.32,card,completed,source_export
ORD-2024-000126,2024-01-13,CUST-005157,Email,Lifecycle_Email,false,675.80,35.57,0.00,675.80,card,completed,source_export
ORD-2024-000127,2024-05-18,CUST-003508,Email,Lifecycle_Email,false,163.81,0.00,69.00,232.81,instant_eft,completed,source_export
ORD-2024-000128,2024-06-15,CUST-001676,Direct,Direct,false,141.80,0.00,69.00,210.80,card,completed,source_export
ORD-2024-000129,2024-03-22,CUST-007210,Organic Search,Organic,false,134.51,0.00,69.00,203.51,payflex,completed,source_export
ORD-2024-000130,2024-01-20,CUST-010252,Organic Search,Organic,false,150.21,7.91,49.00,199.21,card,completed,source_export
ORD-2024-000131,2024-06-03,CUST-002320,Email,Lifecycle_Email,false,157.03,0.00,69.00,226.03,card,completed,source_export
ORD-2024-000132,2024-04-11,CUST-003562,Direct,Direct,false,591.19,0.00,0.00,591.19,card,completed,source_export
ORD-2024-000133,2024-04-21,CUST-000185,Google Ads,H1_Search_Core_Retail,true,194.45,10.23,69.00,263.45,card,completed,source_export
ORD-2024-000134,2024-04-27,CUST-007964,Google Ads,H1_Search_Core_Retail,true,83.53,0.00,59.00,142.53,payflex,completed,source_export
ORD-2024-000135,2024-06-17,CUST-007741,Email,Lifecycle_Email,false,389.83,20.52,69.00,458.83,card,completed,source_export
ORD-2024-000136,2024-05-18,CUST-007918,Organic Search,Organic,false,299.41,15.76,49.00,348.41,card,completed,source_export
ORD-2024-000137,2024-02-21,CUST-004547,Google Ads,H1_Search_Core_Retail,true,722.90,0.00,0.00,722.90,instant_eft,completed,source_export
ORD-2024-000138,2024-01-27,CUST-008716,Organic Search,Organic,false,365.28,19.22,59.00,424.28,wallet,completed,source_export
ORD-2024-000139,2024-02-21,CUST-000326,Referral,Referral_Partners,false,167.46,0.00,69.00,236.46,payflex,completed,source_export
ORD-2024-000140,2024-01-10,CUST-005588,Direct,Direct,false,266.92,0.00,69.00,335.92,card,completed,source_export
ORD-2024-000141,2024-04-20,CUST-000537,Direct,Direct,false,262.24,5.90,49.00,311.24,instant_eft,completed,source_export
ORD-2024-000142,2024-05-16,CUST-004986,Referral,Referral_Partners,false,156.13,0.00,59.00,215.13,card,completed,source_export
ORD-2024-000143,2024-04-25,CUST-003139,DV360,H1_Programmatic_Prospecting_Retail,true,209.10,11.01,69.00,278.10,card,completed,source_export
ORD-2024-000144,2024-03-21,CUST-005957,Organic Search,Organic,false,138.67,0.00,69.00,207.67,instant_eft,refunded,source_export
ORD-2024-000145,2024-06-23,CUST-003353,Direct,Direct,false,205.65,0.00,49.00,254.65,card,completed,source_export
ORD-2024-000146,2024-03-17,CUST-001149,Google Ads,H1_Search_Core_Retail,true,288.37,15.18,69.00,357.37,card,completed,source_export
ORD-2024-000147,2024-06-30,CUST-009430,Organic Search,Organic,false,271.62,14.30,59.00,330.62,card,completed,source_export
ORD-2024-000148,2024-05-14,CUST-005963,Referral,Referral_Partners,false,147.39,0.00,49.00,196.39,card,completed,source_export
ORD-2024-000149,2024-06-30,CUST-004774,Organic Search,Organic,false,298.78,15.73,59.00,357.78,card,completed,source_export
ORD-2024-000150,2024-04-18,CUST-007304,Organic Search,Organic,false,197.63,10.40,59.00,256.63,payflex,completed,source_export
ORD-2024-000151,2024-05-26,CUST-006571,Organic Search,Organic,false,770.47,0.00,0.00,770.47,card,completed,source_export
ORD-2024-000152,2024-03-14,CUST-006988,Direct,Direct,false,179.83,9.46,59.00,238.83,wallet,completed,source_export
ORD-2024-000153,2024-02-20,CUST-000546,Organic Search,Organic,false,165.69,8.72,49.00,214.69,card,completed,source_export
ORD-2024-000154,2024-01-24,CUST-003778,Organic Search,Organic,false,146.20,0.00,59.00,205.20,card,completed,source_export
ORD-2024-000155,2024-05-01,CUST-006852,Email,Lifecycle_Email,false,138.85,7.31,69.00,207.85,card,completed,source_export
ORD-2024-000156,2024-04-26,CUST-000453,Organic Search,Organic,false,442.43,6.33,69.00,511.43,card,completed,source_export
ORD-2024-000157,2024-06-20,CUST-007754,Referral,Referral_Partners,false,75.29,0.00,69.00,144.29,card,completed,source_export
ORD-2024-000158,2024-02-04,CUST-005895,Referral,Referral_Partners,false,884.53,15.21,0.00,884.53,card,Refund,source_export
ORD-2024-000159,2024-03-19,CUST-003268,Email,Lifecycle_Email,false,322.74,16.98,59.00,381.74,card,completed,source_export
ORD-2024-000160,2024-02-04,CUST-002918,Google Ads,H1_Search_Core_Retail,true,798.93,35.14,0.00,798.93,wallet,completed,source_export
ORD-2024-000161,2024-06-11,CUST-009980,Email,Lifecycle_Email,false,302.40,0.00,59.00,361.40,card,completed,source_export
ORD-2024-000162,2024-03-14,CUST-009435,YouTube,H1_Video_Awareness_Retail,true,182.79,0.00,49.00,231.79,card,completed,source_export
ORD-2024-000163,2024-02-29,CUST-010117,Referral,Referral_Partners,false,200.65,10.56,49.00,249.65,card,completed,source_export
ORD-2024-000164,2024-05-10,CUST-005018,Direct,Direct,false,223.15,11.74,69.00,292.15,instant_eft,completed,source_export
ORD-2024-000165,2024-03-28,CUST-006751,Email,Lifecycle_Email,false,908.13,0.00,0.00,908.13,card,completed,source_export
ORD-2024-000166,2024-05-15,CUST-008567,Direct,Direct,false,305.26,"0,00",59.00,364.26,card,completed,source_export
ORD-2024-000167,2024-06-17,CUST-003986,Organic Search,Organic,false,266.56,0.00,69.00,335.56,card,completed,source_export
ORD-2024-000168,2024-02-05,CUST-006376,Referral,Referral_Partners,false,121.81,6.41,49.00,170.81,card,completed,source_export
ORD-2024-000169,2024-05-23,CUST-004139,CM360,H1_Display_MidFunnel_Retail,true,410.57,30.29,69.00,479.57,instant_eft,completed,source_export
ORD-2024-000170,2024-06-13,CUST-008893,DV360,H1_Programmatic_Prospecting_Retail,true,126.01,6.63,69.00,195.01,card,completed,source_export
ORD-2024-000171,2024-04-20,CUST-002562,Organic Search,Organic,false,402.23,21.17,49.00,451.23,card,completed,source_export
ORD-2024-000172,2024-04-11,CUST-002458,Organic Search,Organic,false,618.79,11.61,0.00,618.79,instant_eft,completed,source_export
ORD-2024-000173,2024-02-15,CUST-002523,Email,Lifecycle_Email,false,537.07,28.27,0.00,537.07,card,completed,source_export
ORD-2024-000174,2024-02-03,CUST-002347,Referral,Referral_Partners,false,699.71,0.00,0.00,699.71,card,completed,source_export
ORD-2024-000175,2024-04-23,CUST-000027,Organic Search,Organic,false,908.02,38.64,0.00,908.02,card,completed,source_export
ORD-2024-000176,2024-01-01,CUST-003503,Referral,Referral_Partners,false,453.91,23.89,0.00,453.91,card,completed,source_export
ORD-2024-000177,2024-01-16,CUST-003108,Referral,Referral_Partners,false,143.85,7.57,69.00,212.85,card,completed,source_export
ORD-2024-000178,2024-04-20,CUST-004427,Google Ads,H1_Search_Core_Retail,true,137.62,0.00,59.00,196.62,card,completed,source_export
ORD-2024-000179,2024-04-08,CUST-004181,Google Ads,H1_Search_Core_Retail,true,190.85,21.21,59.00,249.85,card,completed,source_export
ORD-2024-000180,2024-06-03,CUST-000668,Referral,Referral_Partners,false,143.86,0.00,69.00,212.86,instant_eft,completed,source_export
ORD-2024-000181,2024-06-15,CUST-007670,Direct,Direct,false,180.73,9.51,69.00,249.73,card,completed,source_export
ORD-2024-000182,2024-04-13,CUST-006867,DV360,H1_Programmatic_Prospecting_Retail,true,530.17,7.94,0.00,530.17,instant_eft,completed,source_export
ORD-2024-000183,2024-03-01,CUST-009599,Organic Search,Organic,false,410.68,0.00,69.00,479.68,card,completed,source_export
ORD-2024-000184,2024-02-13,CUST-007124,Google Ads,H1_Search_Core_Retail,true,426.92,22.47,49.00,475.92,card,completed,source_export
ORD-2024-000185,2024-04-03,CUST-006545,Organic Search,Organic,false,285.79,15.04,49.00,334.79,instant_eft,refunded,source_export
ORD-2024-000186,2024-06-25,CUST-000193,Organic Search,Organic,false,90.49,0.00,69.00,159.49,wallet,completed,source_export
ORD-2024-000187,2024-03-06,CUST-007265,Google Ads,H1_Search_Core_Retail,true,120.09,0.00,69.00,189.09,wallet,completed,source_export
ORD-2024-000188,2024-03-23,CUST-005882,Organic Search,Organic,false,893.27,47.02,0.00,893.27,card,completed,source_export
ORD-2024-000189,2024-04-07,CUST-000745,Organic Search,Organic,false,358.85,18.89,49.00,407.85,card,completed,source_export
ORD-2024-000190,2024-06-09,CUST-006570,Email,Lifecycle_Email,false,704.19,37.06,0.00,704.19,card,completed,source_export
ORD-2024-000191,2024-04-06,CUST-004565,Referral,Referral_Partners,false,916.11,0.00,0.00,916.11,card,completed,source_export
ORD-2024-000192,2024-05-11,CUST-003892,Email,Lifecycle_Email,false,291.67,15.35,49.00,340.67,payflex,cancelled,source_export
ORD-2024-000193,2024-06-20,CUST-007466,Direct,Direct,false,207.53,10.92,49.00,256.53,card,completed,source_export
ORD-2024-000194,2024-02-15,CUST-005713,CM360,H1_Display_MidFunnel_Retail,true,1477.67,0.00,0.00,1477.67,card,completed,source_export
ORD-2024-000195,2024-01-09,CUST-006936,Google Ads,H1_Search_Core_Retail,true,113.23,0.00,69.00,182.23,card,completed,source_export
ORD-2024-000196,2024-06-18,CUST-002537,Organic Search,Organic,false,117.24,0.00,69.00,186.24,instant_eft,completed,source_export
ORD-2024-000197,2024-03-29,CUST-000108,Direct,Direct,false,778.29,0.00,0.00,778.29,card,completed,source_export
ORD-2024-000198,2024-06-13,CUST-002676,Google Ads,H1_Search_Core_Retail,true,221.23,24.58,59.00,280.23,card,completed,source_export
ORD-2024-000199,2024-04-14,CUST-009874,Direct,Direct,false,176.38,0.00,49.00,225.38,wallet,completed,source_export
ORD-2024-000200,2024-02-17,CUST-003011,Email,Lifecycle_Email,false,210.54,11.08,49.00,259.54,instant_eft,completed,source_export
ORD-2024-000201,2024-04-20,CUST-007031,Organic Search,Organic,false,672.30,0.00,0.00,672.30,payflex,cancelled,source_export
ORD-2024-000202,2024-02-29,CUST-000795,Organic Search,Organic,false,986.71,0.00,0.00,986.71,wallet,completed,source_export
ORD-2024-000203,2024-06-21,CUST-009744,Referral,Referral_Partners,false,142.03,0.00,59.00,201.03,payflex,refunded,source_export
ORD-2024-000204,2024-04-14,CUST-003587,Direct,Direct,false,807.82,42.52,0.00,807.82,card,refunded,source_export
ORD-2024-000205,2024-06-10,CUST-010128,Organic Search,Organic,false,1498.17,20.02,0.00,1498.17,card,completed,source_export
ORD-2024-000206,2024-04-26,CUST-006564,Organic Search,Organic,false,200.64,0.00,69.00,269.64,wallet,completed,source_export
ORD-2024-000207,2024-03-09,CUST-006356,Email,Lifecycle_Email,false,153.01,0.00,69.00,222.01,instant_eft,refunded,source_export
ORD-2024-000208,2024-03-01,CUST-005574,DV360,H1_Programmatic_Prospecting_Retail,true,150.32,16.70,49.00,199.32,card,completed,source_export
ORD-2024-000209,2024-05-06,CUST-008297,Referral,Referral_Partners,false,542.11,0.00,0.00,542.11,wallet,completed,source_export
ORD-2024-000210,2024-04-26,CUST-002050,Google Ads,H1_Search_Core_Retail,true,564.23,29.70,0.00,564.23,payflex,completed,source_export
ORD-2024-000211,2024-04-06,CUST-003087,Google Ads,H1_Search_Core_Retail,true,1282.40,31.40,0.00,1282.40,instant_eft,completed,source_export
ORD-2024-000212,2024-04-20,CUST-003477,Organic Search,Organic,false,152.01,0.00,69.00,221.01,instant_eft,completed,source_export
ORD-2024-000213,2024-06-02,CUST-004217,Organic Search,Organic,false,814.33,42.86,0.00,814.33,wallet,refunded,source_export
